TargetInterval,Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
3,4,0,1,5TPS,3380,1640,5.0,0.14,0.01,0.05,3.4,0.734,80,3395,1035.0,3.3,15.5,5.0,65.0,0.03
3,4,1,1,5TPS,4440,580,5.0,0.55,0.01,0.05,4.5,0.877,40,3475,1025.0,3.4,27.2,5.0,90.0,0.32
3,4,2,1,5TPS,3920,1100,5.0,1.00,0.01,0.06,3.9,0.863,34,3235,1030.0,3.1,30.2,5.0,100.0,0.26
5,4,0,1,5TPS,5000,20,5.0,0.24,0.01,0.03,5.0,0.635,101,4675,1025.0,4.6,11.3,5.0,55.0,0.09
5,4,1,1,5TPS,4800,220,5.0,0.58,0.01,0.04,4.8,0.638,95,4175,1025.0,4.1,11.8,5.0,40.0,0.17
5,4,2,1,5TPS,4920,100,5.0,0.27,0.01,0.04,4.9,0.784,48,3995,1025.0,3.9,19.4,5.0,105.0,0.26
7,4,0,1,5TPS,4980,40,5.0,0.50,0.01,0.05,5.0,0.882,26,1575,1040.0,1.5,39.5,5.0,140.0,2.33
7,4,1,1,5TPS,4660,360,5.0,0.72,0.01,0.04,4.7,0.755,49,2095,1040.0,2.0,21.4,5.0,145.0,1.35
7,4,2,1,5TPS,4900,120,5.0,0.25,0.01,0.04,4.9,0.816,38,1495,1040.0,1.4,22.5,5.0,105.0,2.5
10,4,0,1,5TPS,5020,0,5.0,1.17,0.01,0.03,5.0,0.475,84,3815,1035.0,3.7,13.2,5.0,80.0,0.35
10,4,1,1,5TPS,5020,0,5.0,0.13,0.01,0.02,5.0,0.827,35,1375,1040.0,1.3,25.6,5.0,100.0,2.85
10,4,2,1,5TPS,5020,0,5.0,0.46,0.01,0.03,5.0,0.293,100,4895,1005.0,4.9,11.2,5.0,85.0,0.02
13,4,0,1,5TPS,5020,0,5.0,0.89,0.01,0.04,5.0,0.287,88,5035,1030.0,4.9,14.2,5.0,70.0,0.02
13,4,1,1,5TPS,4700,320,5.0,0.45,0.01,0.04,4.7,0.782,28,735,1040.0,0.7,31.2,5.0,110.0,5.71
13,4,2,1,5TPS,5020,0,5.0,1.32,0.01,0.03,5.0,0.235,89,4995,1035.0,4.8,14.1,5.0,75.0,0.04
16,4,0,1,5TPS,5020,0,5.0,0.25,0.01,0.02,5.0,0.699,38,2035,1035.0,2.0,29.2,5.0,190.0,1.5
16,4,1,1,5TPS,5020,0,5.0,0.73,0.01,0.02,5.0,0.149,81,5035,1035.0,4.9,13.3,5.0,95.0,0.02
16,4,2,1,5TPS,5020,0,5.0,0.20,0.01,0.02,5.0,0.637,38,2135,1035.0,2.1,28.8,5.0,205.0,1.38
20,4,0,1,5TPS,5020,0,5.0,0.35,0.01,0.03,5.0,0.612,39,1795,1040.0,1.7,25.4,5.0,115.0,1.94
20,4,1,1,5TPS,5020,0,5.0,0.20,0.01,0.02,5.0,0.198,70,4955,1025.0,4.8,17.5,5.0,100.0,0.04
20,4,2,1,5TPS,4880,140,5.0,1.22,0.01,0.04,4.9,0.378,62,4895,1035.0,4.7,18.5,5.0,160.0,0.04
25,4,0,1,5TPS,5020,0,5.0,1.22,0.01,0.03,5.0,0.153,62,4755,1025.0,4.6,17.3,5.0,135.0,0.09
25,4,1,1,5TPS,5020,0,5.0,1.11,0.01,0.03,5.0,0.293,59,4635,1030.0,4.5,19.2,5.0,95.0,0.11
25,4,2,1,5TPS,5020,0,5.0,0.12,0.01,0.02,5.0,0.563,39,2155,1035.0,2.1,29.7,5.0,240.0,1.38
30,4,0,1,5TPS,5020,0,5.0,1.08,0.01,0.03,5.0,0.171,59,4755,1030.0,4.6,18.3,5.0,160.0,0.09
30,4,1,1,5TPS,5020,0,5.0,1.11,0.01,0.03,5.0,0.211,61,4895,1030.0,4.8,17.3,5.0,125.0,0.04
30,4,2,1,5TPS,5020,0,5.0,0.50,0.01,0.02,5.0,0.507,36,2435,1030.0,2.4,22.6,5.0,105.0,1.08
35,4,0,1,5TPS,5020,0,5.0,0.11,0.01,0.02,5.0,0.113,56,4335,1030.0,4.2,17.8,5.0,95.0,0.19
35,4,1,1,5TPS,5020,0,5.0,0.80,0.01,0.02,5.0,0.203,56,4995,1035.0,4.8,20.0,5.0,75.0,0.04
35,4,2,1,5TPS,4940,80,5.0,0.92,0.01,0.02,5.0,0.36,49,3235,1035.0,3.1,22.1,5.0,255.0,0.61
40,4,0,1,5TPS,5020,0,5.0,1.52,0.01,0.02,5.0,0.063,60,4855,1030.0,4.7,18.4,5.0,105.0,0.06
40,4,1,1,5TPS,5020,0,5.0,1.08,0.01,0.03,5.0,0.164,52,5035,1035.0,4.9,19.0,5.0,130.0,0.02
40,4,2,1,5TPS,4800,220,5.0,0.36,0.01,0.02,4.8,0.172,54,3535,1015.0,3.5,14.7,5.0,60.0,0.37
50,4,0,1,5TPS,5020,0,5.0,0.17,0.01,0.02,5.0,0.179,47,4935,1040.0,4.7,20.3,5.0,120.0,0.06
50,4,1,1,5TPS,5020,0,5.0,0.41,0.01,0.03,5.0,0.234,50,4755,1025.0,4.6,23.2,5.0,110.0,0.09
50,4,2,1,5TPS,5020,0,5.0,0.38,0.01,0.03,5.0,0.158,49,4355,1025.0,4.2,20.2,5.0,100.0,0.19
