TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
3,6,0,1,5TPS3sec,3860,160,5.1,0.07,0.01,0.02,4.8,0.936,27,917,852.0,1.1,26.1,3.0,129.0,3.36
3,6,1,1,5TPS3sec,4000,20,5.1,0.16,0.01,0.02,5.0,0.946,26,717,858.0,0.8,28.4,3.0,114.0,5.25
5,6,0,1,5TPS5sec,3960,60,5.1,0.26,0.01,0.02,5.0,0.942,22,1197,852.0,1.4,33.3,3.0,78.0,2.57
5,6,1,1,5TPS5sec,3940,80,5.1,0.13,0.01,0.02,5.0,0.908,32,977,852.0,1.1,21.5,3.0,96.0,3.55
10,6,0,1,5TPS10sec,4020,0,5.1,0.08,0.01,0.02,5.1,0.737,58,3437,852.0,4.0,13.0,3.0,51.0,0.27
10,6,1,1,5TPS10sec,3840,180,5.1,0.10,0.01,0.02,4.8,0.82,35,1417,849.0,1.7,19.2,3.0,105.0,1.82
20,6,0,1,5TPS20sec,4000,20,5.1,0.13,0.01,0.02,5.0,0.858,22,837,852.0,1.0,32.5,3.0,120.0,4.0
20,6,1,1,5TPS20sec,4020,0,5.1,0.14,0.01,0.02,5.1,0.167,61,3697,840.0,4.4,12.9,3.0,144.0,0.16
30,6,0,1,5TPS30sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.61,33,1517,843.0,1.8,20.8,3.0,195.0,1.83
30,6,1,1,5TPS30sec,4020,0,5.1,0.04,0.01,0.02,5.1,0.185,54,4037,840.0,4.8,16.0,3.0,90.0,0.06
40,6,0,1,5TPS40sec,4000,20,5.1,0.12,0.01,0.02,5.0,0.493,37,3977,831.0,4.8,20.6,3.0,138.0,0.04
40,6,1,1,5TPS40sec,4020,0,5.1,0.07,0.01,0.02,5.1,0.194,51,3897,846.0,4.6,12.2,3.0,72.0,0.11
50,6,0,1,5TPS50sec,4020,0,5.1,0.09,0.01,0.02,5.1,0.131,54,3637,852.0,4.3,11.7,3.0,78.0,0.19
50,6,1,1,5TPS50sec,4020,0,5.1,0.29,0.01,0.02,5.1,0.157,44,3797,840.0,4.5,17.6,3.0,72.0,0.13
60,6,0,1,5TPS60sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.136,53,4037,846.0,4.8,13.4,3.0,84.0,0.06
60,6,1,1,5TPS60sec,4020,0,5.1,0.07,0.01,0.02,5.1,0.1,38,4037,846.0,4.8,22.0,3.0,84.0,0.06
80,6,0,1,5TPS80sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.154,34,3557,843.0,4.2,21.0,3.0,117.0,0.21
80,6,1,1,5TPS80sec,4020,0,5.1,0.04,0.01,0.02,5.1,0.133,40,4037,846.0,4.8,20.8,3.0,87.0,0.06
100,6,0,1,5TPS100sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.122,37,4037,852.0,4.7,22.8,3.0,84.0,0.09
100,6,1,1,5TPS100sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.143,37,4037,849.0,4.8,22.4,3.0,237.0,0.06
3,6,0,1,10TPS3sec,6300,1720,10.1,0.13,0.01,0.02,7.9,0.892,29,2457,849.0,2.9,29.7,3.0,147.0,1.72
3,6,1,1,10TPS3sec,5900,2120,10.1,0.16,0.01,0.02,7.4,0.893,29,2057,846.0,2.4,24.2,3.0,126.0,2.08
5,6,0,1,10TPS5sec,6740,1280,10.1,0.66,0.01,0.07,8.4,0.712,58,3977,840.0,4.7,12.5,3.0,78.0,0.79
5,6,1,1,10TPS5sec,7140,880,10.1,0.24,0.01,0.03,8.9,0.69,46,2737,843.0,3.2,12.8,3.0,144.0,1.78
10,6,0,1,10TPS10sec,7560,460,10.1,0.21,0.01,0.03,9.5,0.719,35,1697,849.0,2.0,18.6,3.0,138.0,3.75
10,6,1,1,10TPS10sec,7880,140,10.1,0.21,0.01,0.02,9.9,0.442,78,6477,819.0,7.9,10.8,3.0,84.0,0.25
20,6,0,1,10TPS20sec,8020,0,10.1,0.48,0.01,0.02,10.0,0.269,58,7597,837.0,9.1,13.2,3.0,81.0,0.1
20,6,1,1,10TPS20sec,7980,40,10.1,0.54,0.01,0.02,10.0,0.228,62,7257,831.0,8.7,12.9,3.0,123.0,0.15
30,6,0,1,10TPS30sec,8020,0,10.1,0.24,0.01,0.02,10.1,0.172,54,7337,834.0,8.8,15.1,3.0,105.0,0.15
30,6,1,1,10TPS30sec,7840,180,10.1,0.71,0.01,0.03,9.8,0.179,56,7257,837.0,8.7,14.8,3.0,150.0,0.13
40,6,0,1,10TPS40sec,8020,0,10.1,0.15,0.01,0.02,10.1,0.284,49,7737,834.0,9.3,16.5,3.0,84.0,0.09
40,6,1,1,10TPS40sec,8020,0,10.1,1.10,0.01,0.04,10.1,0.121,52,7977,837.0,9.5,17.4,3.0,93.0,0.06
50,6,0,1,10TPS50sec,8020,0,10.1,0.13,0.01,0.02,10.1,0.271,44,7677,831.0,9.2,19.0,3.0,99.0,0.1
50,6,1,1,10TPS50sec,7400,620,10.1,0.94,0.01,0.04,9.3,0.167,51,7377,831.0,8.9,16.9,3.0,162.0,0.04
60,6,0,1,10TPS60sec,8020,0,10.1,0.35,0.01,0.02,10.0,0.273,41,7637,828.0,9.2,22.5,3.0,105.0,0.09
60,6,1,1,10TPS60sec,7100,920,10.1,0.42,0.01,0.04,8.9,0.519,26,5557,831.0,6.7,27.0,3.0,129.0,0.33
80,6,0,1,10TPS80sec,8020,0,10.1,0.14,0.01,0.02,10.1,0.087,43,7777,831.0,9.4,19.1,3.0,126.0,0.07
80,6,1,1,10TPS80sec,7720,300,10.1,0.40,0.01,0.02,10.1,0.22,33,6237,834.0,7.5,20.1,3.0,114.0,0.35
100,6,0,1,10TPS100sec,7120,900,10.1,0.06,0.01,0.02,8.9,0.174,38,7137,834.0,8.6,21.6,3.0,231.0,0.03
100,6,1,1,10TPS100sec,8020,0,10.1,0.26,0.01,0.02,10.1,0.189,31,7537,831.0,9.1,27.2,3.0,126.0,0.11
3,6,0,1,15TPS3sec,12020,0,15.1,0.62,0.01,0.02,15.1,0.262,110,6677,468.0,14.3,5.9,3.0,33.0,0.06
3,6,1,1,15TPS3sec,8000,4020,15.1,0.31,0.01,0.03,10.0,0.616,67,5117,843.0,6.1,12.4,3.0,120.0,0.64
5,6,0,1,15TPS5sec,7600,4420,15.1,0.38,0.01,0.03,9.5,0.648,52,4157,825.0,5.0,15.0,3.0,210.0,0.9
5,6,1,1,15TPS5sec,12020,0,15.1,1.21,0.01,0.03,15.0,0.377,114,2901,828.0,3.5,9.3,3.0,48.0,3.29
10,6,0,1,15TPS10sec,9620,2400,15.1,0.56,0.01,0.03,12.0,0.415,56,6277,828.0,7.6,13.1,3.0,186.0,0.58
10,6,1,1,15TPS10sec,9960,2060,15.1,1.03,0.01,0.03,12.5,0.352,70,7557,822.0,9.2,11.5,3.0,87.0,0.36
20,6,0,1,15TPS20sec,8660,3360,15.1,0.48,0.01,0.04,10.8,0.553,35,5237,840.0,6.2,20.4,3.0,111.0,0.74
20,6,1,1,15TPS20sec,10500,1520,15.1,0.78,0.01,0.03,13.1,0.134,58,9297,813.0,11.4,12.3,3.0,141.0,0.15
30,6,0,1,15TPS30sec,10880,1140,15.1,1.43,0.01,0.04,13.6,0.328,40,7957,831.0,9.6,18.3,3.0,132.0,0.42
30,6,1,1,15TPS30sec,9500,2520,15.1,0.84,0.01,0.04,11.9,0.532,38,6477,825.0,7.9,17.3,3.0,93.0,0.51
40,6,0,1,15TPS40sec,10060,1960,15.1,0.80,0.01,0.04,12.6,0.619,25,7357,825.0,8.9,30.8,3.0,120.0,0.42
40,6,1,1,15TPS40sec,10940,1080,15.1,1.51,0.01,0.04,13.7,1.017,39,7997,774.0,10.3,13.3,3.0,51.0,0.33
50,6,0,1,15TPS50sec,10560,1460,15.1,0.79,0.01,0.03,13.2,0.369,42,8637,825.0,10.5,15.4,3.0,60.0,0.26
50,6,1,1,15TPS50sec,10520,1500,15.1,0.96,0.01,0.03,13.2,0.388,42,1201,840.0,1.4,20.1,3.0,87.0,8.43
60,6,0,1,15TPS60sec,8540,3480,15.1,0.38,0.01,0.04,10.7,0.65,15,4237,837.0,5.1,27.9,3.0,168.0,1.1
60,6,1,1,15TPS60sec,9080,2940,15.1,0.34,0.01,0.04,11.4,0.4,19,4877,831.0,5.9,19.3,3.0,132.0,0.93
80,6,0,1,15TPS80sec,10500,1520,15.1,1.44,0.01,0.05,13.1,0.333,31,8017,819.0,9.8,18.3,3.0,138.0,0.34
80,6,1,1,15TPS80sec,9400,2620,15.1,0.78,0.01,0.04,11.8,0.514,19,6357,834.0,7.6,30.2,3.0,168.0,0.55
100,6,0,1,15TPS100sec,10380,1640,15.1,0.93,0.01,0.04,13.0,0.343,24,7617,813.0,9.4,21.0,3.0,90.0,0.38
100,6,1,1,15TPS100sec,8040,3980,15.1,0.73,0.01,0.04,10.1,0.605,16,5237,822.0,6.4,44.3,3.0,120.0,0.58
3,6,0,1,20TPS3sec,9080,6940,20.1,0.26,0.01,0.03,11.4,0.555,66,5077,840.0,6.0,12.5,3.0,141.0,0.9
3,6,1,1,20TPS3sec,5480,10540,20.1,0.09,0.01,0.03,8.0,0.861,33,2357,855.0,2.8,18.3,3.0,135.0,1.86
5,6,0,1,20TPS5sec,10200,5820,20.1,0.31,0.01,0.03,12.8,0.509,n/a,n/a,n/a,n/a,n/a,n/a/,n/a,n/a
5,6,1,1,20TPS5sec,10240,5780,20.1,1.03,0.01,0.04,12.8,0.475,63,3201,807.0,4.0,9.3,3.0,117.0,2.2
10,6,0,1,20TPS10sec,10220,5800,20.1,0.13,0.01,0.03,12.8,0.459,54,7697,819.0,9.4,14.7,3.0,135.0,0.36
