TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
20,1,0,1,5TPS20sec,4020,0,5.1,4.31,0.04,0.08,5.1,0,46,4032,825,4.9,18.3,3,48,0.04
20,1,1,1,5TPS20sec,4020,0,5.1,64.19,0.04,0.39,5.1,0,49,4032,825,4.9,17.9,3,48,0.04
20,1,0,1,10TPS20sec,8020,0,10.1,64.18,0.04,0.3,10.1,0,45,7992,813,9.8,19.4,3,54,0.03
20,1,1,1,10TPS20sec,8020,0,10.1,64.23,0.04,0.23,10.1,0,47,8032,813,9.9,18.5,3,45,0.02
20,1,0,1,15TPS20sec,12020,0,15.1,64.89,0.04,0.55,15.1,0,43,11692,798,14.7,20.4,3,57,0.03
20,1,1,1,15TPS20sec,3180,0,15.1,2186.92,0.04,94.31,1.3,0,10,3052,1590,1.9,21.3,3,51,-0.32
20,1,0,1,20TPS20sec,16020,0,20.1,64.31,0.04,0.27,20.1,0,30,14832,795,18.7,26.8,3,63,0.07
20,1,1,1,20TPS20sec,16020,0,20.1,64.45,0.04,0.45,20,0,33,15392,783,19.7,24.1,3,75,0.02
20,1,0,1,25TPS20sec,1880,0,25.4,4968.27,0.04,262.28,0.4,0,6,1792,1623,1.1,12,3,21,-0.64
20,1,1,1,25TPS20sec,19920,100,25.1,64.34,0.03,0.32,25,0,33,18072,780,23.2,25.7,3,72,0.08
20,1,0,1,30TPS20sec,18840,3880,30.1,4967.66,0.04,36.98,3.3,0,25,18712,1944,9.6,34.3,3,72,-0.66
20,1,1,1,30TPS20sec,19640,4380,30.1,1.98,0.04,0.14,24.6,0,29,18112,768,23.6,28.9,3,102,0.04
20,1,0,1,40TPS20sec,20960,11060,40.1,64.54,0.04,0.36,24.6,0,27,20112,825,24.4,32.3,3,96,0.01
20,1,1,1,40TPS20sec,21560,10460,40.1,64.46,0.03,0.25,27.5,0,27,19152,777,24.6,31.8,3,66,0.12
20,2,0,1,5TPS20sec,4020,0,5.1,1.08,0.04,0.08,5,0.085,56,4033,831,4.9,15,3,69,0.02
20,2,1,1,5TPS20sec,4020,0,5.1,64.15,0.04,0.38,4.9,0.068,56,4033,852,4.7,15.4,3,54,0.04
20,2,0,1,10TPS20sec,4940,0,10,5155.89,0.03,42.09,0.9,0.064,44,4913,1590,3.1,12.2,3,66,-0.71
20,2,1,1,10TPS20sec,8020,0,10.1,64.49,0.04,0.42,9.3,0.094,59,7953,873,9.1,15.7,3,87,0.02
20,2,0,1,15TPS20sec,11460,560,15.1,64.43,0.03,0.55,14.4,0.111,57,9733,804,12.1,15,3,99,0.19
20,2,1,1,15TPS20sec,12020,0,15.1,64.27,0.03,0.7,15.1,0.129,54,10713,801,13.4,14.5,3,60,0.13
20,2,0,1,20TPS20sec,15120,900,20.1,54.45,0.04,0.54,18.9,0.375,30,12653,798,15.9,25.6,3,69,0.19
20,2,1,1,20TPS20sec,15560,460,20.1,54.18,0.04,0.32,19.5,0.245,40,13913,789,17.6,19.6,3,63,0.11
20,2,0,1,25TPS20sec,14300,5720,25.1,37.62,0.04,0.45,17.1,0.391,29,12013,843,14.3,29.4,3,90,0.2
20,2,1,1,25TPS20sec,16060,3960,25.1,37.65,0.03,0.28,20.1,0.365,32,14633,792,18.5,32.5,3,72,0.09
20,2,0,1,30TPS20sec,16120,7900,30.1,64.63,0.04,0.23,20.8,n/a,46,22713,1665,13.6,36.1,3,111,0.53
20,2,1,1,30TPS20sec,12920,11100,30.1,53.04,0.03,0.2,16,0.472,46,22713,705,32.2,52.2,21,111,-0.5
20,2,0,1,40TPS20sec,18460,13560,40.1,64.8,0.03,0.51,21.8,0.391,37,16833,840,20,23.1,3,57,0.09
20,2,1,1,40TPS20sec,18840,13180,40.1,1.31,0.04,0.09,23.6,0.456,31,13773,786,17.5,25.1,3,129,0.35
20,4,0,1,5TPS20sec,4020,0,5.1,64.18,0.04,0.46,4.8,0.667,38,2455,873,2.8,13.5,3,51,0.71
20,4,1,1,5TPS20sec,4020,0,5.1,0.19,0.03,0.06,5.1,0.581,37,2055,840,2.4,21.4,3,102,1.12
20,4,0,1,10TPS20sec,8020,0,10.1,3.54,0.03,0.1,10.1,0.147,65,7635,822,9.3,12.9,3,96,0.09
20,4,1,1,10TPS20sec,8020,0,10.1,3.09,0.03,0.09,10.1,0.212,64,8035,825,9.7,14.1,3,60,0.04
20,4,0,1,15TPS20sec,11520,500,15.1,64.71,0.03,0.71,14.4,0.333,50,8655,807,10.7,12.8,3,75,0.35
20,4,1,1,15TPS20sec,12020,0,15.1,64.38,0.03,0.47,15.1,0.176,62,11215,813,13.8,14,3,54,0.09
20,4,0,1,20TPS20sec,14800,1220,20.1,64.56,0.03,0.2,18.5,0.268,61,13255,789,16.8,14.7,3,114,0.1
20,4,1,1,20TPS20sec,13460,2560,20.1,64.4,0.03,0.4,16.9,0.371,45,9135,807,11.3,12.1,3,75,0.5
20,4,0,1,25TPS20sec,10120,9900,25.1,64.43,0.04,0.21,12.7,0.672,23,6235,873,7.1,38,3,138,0.79
20,4,1,1,25TPS20sec,11640,8380,25.1,332.42,0.03,1.61,11,0.577,34,8435,1083,7.8,31.8,3,141,0.41
20,4,0,1,30TPS20sec,10360,13660,30.1,1.08,0.03,0.08,13,0.706,21,5755,828,7,33.9,3,120,0.86
20,4,1,1,30TPS20sec,11660,12360,30.1,48.06,0.03,0.16,14.6,0.662,27,2301,828,2.8,31,3,72,4.21
20,4,0,1,40TPS20sec,10100,21920,40.1,40.03,0.04,0.17,12.6,0.772,14,4495,831,5.4,39.5,3,135,1.33
20,4,1,1,40TPS20sec,10880,21140,40.1,40,0.04,0.16,13.6,0.767,18,7115,819,8.7,41.1,3,96,0.56
