Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,5,0,sawtooth-shell-default,45.4,9.8,54.63,11.83,1.1,7.5,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,22.0,21.2,43.16,3.25,10.4,5.1,0,0
1,5,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,5.6,0,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,5.4,0,0,0
1,5,0,sawtooth-rest-api-0,84.6,42.2,49.78,10.28,650.0,1.1,0,0
1,5,0,sawtooth-validator-0,206.7,143.1,90.56,10.98,11.4,649.2,0,0
1,5,1,sawtooth-shell-default,37.0,9.7,53.62,11.66,1.0,7.5,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,22.0,21.2,43.47,3.58,10.3,5.1,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
1,5,1,sawtooth-rest-api-0,80.2,42.3,51.31,10.05,646.2,1.1,0,0
1,5,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.5,0,0,0
1,5,1,sawtooth-validator-0,229.9,153.1,88.55,11.53,11.4,645.4,0,0
1,5,2,sawtooth-shell-default,36.9,9.9,56.06,11.56,1.0,7.5,0,0
1,5,2,sawtooth-intkey-tp-python...ult-0,22.0,21.1,48.40,3.73,10.4,5.1,0,0
1,5,2,sawtooth-rest-api-0,86.0,42.1,51.22,9.89,647.2,1.1,0,0
1,5,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.5,0,0,0
1,5,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.6,0,0,0
1,5,2,sawtooth-validator-0,210.5,146.7,86.25,11.49,11.4,646.4,0,0
1,10,0,sawtooth-shell-default,63.8,13.8,57.07,13.62,1.9,13.3,0,0
1,10,0,sawtooth-rest-api-0,124.8,55.4,89.47,18.33,1.1,1.9,0,0
1,10,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.6,0,0,0
1,10,0,sawtooth-intkey-tp-python...ult-0,23.6,22.1,47.35,6.95,20.7,10.2,0,0
1,10,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.5,0,0,0
1,10,0,sawtooth-validator-0,399.2,228.8,104.17,28.52,22.2,1.1,0,0
1,10,1,sawtooth-shell-default,65.6,14.0,55.96,13.42,1.9,13.2,0,0
1,10,1,sawtooth-intkey-tp-python...ult-0,23.4,21.9,43.34,6.66,20.9,10.3,0,0
1,10,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.4,0,0,0
1,10,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.4,0,0,0
1,10,1,sawtooth-rest-api-0,125.6,55.2,100.13,18.18,1.1,1.9,0,0
1,10,1,sawtooth-validator-0,384.7,228.2,103.23,28.26,22.3,1.1,0,0
1,10,2,sawtooth-shell-default,48.4,13.0,59.51,13.00,1.9,13.1,0,0
1,10,2,sawtooth-intkey-tp-python...ult-0,23.3,21.7,46.93,6.33,21.0,10.4,0,0
1,10,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,10,2,sawtooth-rest-api-0,135.9,54.8,89.39,18.70,1.1,1.9,0,0
1,10,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,10,2,sawtooth-validator-0,414.3,235.8,102.97,27.28,22.3,1.1,0,0
1,15,0,sawtooth-shell-default,47.2,15.6,53.24,12.74,2.1,14.6,0,0
1,15,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.5,0,0,0
1,15,0,sawtooth-intkey-tp-python...ult-0,24.9,22.6,45.63,10.37,31.5,15.6,0,0
1,15,0,sawtooth-rest-api-0,142.7,63.4,99.89,20.78,1.3,2.1,0,0
1,15,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.2,0,0,0
1,15,0,sawtooth-validator-0,629.8,332.2,107.41,44.89,31.7,1.3,0,0
1,15,1,sawtooth-shell-default,68.2,16.0,59.69,12.85,2.1,14.6,0,0
1,15,1,sawtooth-rest-api-0,160.3,65.8,100.27,20.58,1.3,2.1,0,0
1,15,1,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.3,0,0,0
1,15,1,sawtooth-intkey-tp-python...ult-0,24.7,22.6,44.81,9.92,31.2,15.4,0,0
1,15,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.2,0,0,0
1,15,1,sawtooth-validator-0,625.2,342.8,107.57,45.57,31.5,1.3,0,0
1,15,2,sawtooth-shell-default,83.4,15.8,54.76,11.91,2.1,14.8,0,0
1,15,2,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.4,0,0,0
1,15,2,sawtooth-rest-api-0,164.8,65.3,100.42,22.15,1.3,2.2,0,0
1,15,2,sawtooth-intkey-tp-python...ult-0,24.9,22.6,44.81,9.97,31.0,15.4,0,0
1,15,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.5,0,0,0
1,15,2,sawtooth-validator-0,593.8,329.0,108.65,44.46,31.5,1.3,0,0
1,20,0,sawtooth-shell-default,86.2,17.2,56.01,12.52,2.1,14.8,0,0
1,20,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.3,0,0,0
1,20,0,sawtooth-intkey-tp-python...ult-0,26.0,23.1,46.79,13.05,41.2,20.4,0,0
1,20,0,sawtooth-rest-api-0,232.5,73.1,100.39,21.47,1.3,2.2,0,0
1,20,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.4,0,0,0
1,20,0,sawtooth-validator-0,764.0,436.0,109.20,63.68,40.1,1.3,0,0
1,20,1,sawtooth-shell-default,39.1,16.9,57.50,11.83,2.1,14.4,0,0
1,20,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.3,0,0,0
1,20,1,sawtooth-intkey-tp-python...ult-0,26.1,23.2,45.24,12.54,39.7,19.6,0,0
1,20,1,sawtooth-rest-api-0,194.1,75.1,99.92,21.49,1.3,2.1,0,0
1,20,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.2,0,0,0
1,20,1,sawtooth-validator-0,834.9,423.1,108.53,68.14,39.3,1.3,0,0
1,20,2,sawtooth-shell-default,98.1,17.3,56.37,11.93,2.1,14.7,0,0
1,20,2,sawtooth-rest-api-0,216.4,72.6,100.54,22.24,1.3,2.1,0,0
1,20,2,sawtooth-intkey-tp-python...ult-0,26.4,23.5,45.80,12.86,41.6,20.5,0,0
1,20,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,20,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,20,2,sawtooth-validator-0,795.1,430.2,108.29,67.93,40.3,1.3,0,0
1,25,0,sawtooth-shell-default,119.0,18.3,56.54,11.61,2.1,14.4,0,0
1,25,0,sawtooth-intkey-tp-python...ult-0,27.0,23.9,45.01,14.74,47.4,23.4,0,0
1,25,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.3,0,0,0
1,25,0,sawtooth-rest-api-0,209.3,83.6,100.62,21.67,1.3,2.1,0,0
1,25,0,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,10.2,0,0,0
1,25,0,sawtooth-validator-0,914.9,521.2,110.04,83.69,46.6,1.3,0,0
1,25,1,sawtooth-shell-default,72.8,17.9,58.34,10.77,2.0,14.1,0,0
1,25,1,sawtooth-intkey-tp-python...ult-0,26.8,23.8,43.95,13.81,44.7,22.0,0,0
1,25,1,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,10.4,0,0,0
1,25,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.3,0,0,0
1,25,1,sawtooth-rest-api-0,252.4,80.6,100.47,21.36,1.2,2.1,0,0
1,25,1,sawtooth-validator-0,887.1,518.4,107.64,86.54,45.1,1.2,0,0
1,25,2,sawtooth-shell-default,76.0,17.6,54.88,11.99,2.1,14.5,0,0
1,25,2,sawtooth-intkey-tp-python...ult-0,26.9,23.9,43.44,14.55,46.4,22.9,0,0
