-0.020833333333333332
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
49   0d07b178143cd1ea47c61ae86e39f46f5c1e670a98b5a29403669704eb104b0f167d8f1cc9e3ff2a3189afe6b569c40cbb62143949de3ec39e6ffd1a4607c015  50    1000  02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
48   176ecfd4ff254b23445c7aead8d5e15237056824f39fcd2d69b876653717857a11ed581e1c37fcf1cf02ff2315b4e8826d22854c3bcb3c2442a78a27ac0e9df4  27    540   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
47   4e50ed83a64ebe77eea07820dbb24d4a3ed639b68af98d5b56d10d008bfdc50f24e56256f3fe9eaf4e050e98d73dbeabc485c0533d1a7cf86caf8830401add8c  23    460   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
46   277082a63dfe2efc64aa1e1984b8634b34768b2795d9096bcd904a8fc86a2f921986a29a8436b941bbcbad9133b3b905d868306c555e502a049151ef7cfc20d3  3     60    02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
45   b54153c8e01c49c24a8c1c06483136432624397147b870358e81616a15b6467742ce24fff55c161d60cd8b7af6e5fc38b64b45480dd3ee0c474e9b3ff6c60458  13    260   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
44   7ee4525a3cc016ae9d8d5081005fd58365a366f7a726fd8869f1b3eaa34b1dd42e2691a259b1d7d82208507c94f5846aedce3379a90514c69363c92d7d7a0901  19    380   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
43   c99df936966cb1d4086fa20419fea19330ffc46c3d95379773cb1edd6f77cfd1495b420c6c47ad6d3684b0acab153ddfc79a9a81395ec1968d26736a7096047d  31    620   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
42   ab9d749ea05f9ffe8e94140d98ee29a1f1010ff33862d301d144fda311a2383a5a67ab3f47724d87aa73de711dcf3c4901eb0e7904a0aa23a9e3314b7dce2af8  37    740   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
41   51a18325412059951c08d9c787b47549f6c3262d456aef13790096ca56a52eb73b98bbb11be465b259b9ee4e41a233822fa2ec43a59d8632442da3726f7b3ecb  8     160   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
40   0e46515247349d79d3360e1fea21a53f97c7c2a7e9ada919a4ec7d402e8c213e0bc66ef04936089e212189c0418c147d705e4974bcf9c3ed74616fc8406c0122  22    440   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
39   db5452895151acb28116847c921a7aa54d677e977776bd95a6012a12d87c3e11792e2d0e640e0c0f4356d65ef2a6d7bc2eb2d037f379aad2803044197340e412  22    440   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
38   5397b840f24f215311d06ab670ed02491cda562ebac5ab50fa495b12f28dd0bb1dd910e72527c2b6217f2743557822765a9f1c5c0b79c0a405e979aed999c6fa  49    980   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
37   943d73360b18effc0a4f5f77c721e62b8cbed2da4e739417bb3cb43695610f92272db28c989c45ba20969ca3a23df57ba2383f27686540c65e79093b1ac17b60  17    340   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
36   2adfef12de992b5bb194cc826720e3399587472c3b1da317ca97074ed4faebef196a98f5935e8dffadd0819b81402407bed628ac53b8c2d1db08cbcb82ee845e  10    200   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
35   e09f771cf7062338646c7e009462dd5e8ef9264551df494d0d7cc2cd866fe8326d7d04f6e1fb65f089506768ca49b7b15b36071a4907bb0d30ef222516ed47c3  12    240   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
34   30c5c19dd9d064617c82ea9b9799be553608614218a2dffdb76e1bf406b7ae67524c151ac6f5d23d2d98fe366dd966596a540197a85a48a1df3d725c1d54fd4f  35    700   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
33   0fbff8eaa3203bdcf377ffdc995297149b6fe96ebde03d4b4b945d5c612895ce36c5c72617ba0fe762449ef2250dbc3d9ec0b6720fc3222263a20e4d0a140360  13    260   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
32   e92a622ec654f0058186c3ec6d03b32d1ff4061127a5d0f86bef7295633f32c122888fa36063c8a09f7a3e757c31faa47d794c790133f3102f8c35490e18f47d  27    540   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
31   575a4b8e6ce746f04d227396ef98db0110e6bcf0e1879a0a8238af1cfeac6dfd7f148ab07c53e99e426f24517ad0be53732dfb671206490cc2cf895d01558a53  7     140   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
30   210efc523c61a0aef643e2e3658e4a3390ffad91227a8cb090b949be9bd53cef243e14a176ff68a4a338946e24969bb31993fa0ac3b03e308bd31cd446fa7bfb  29    580   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
29   f3d1363ad9bfd082163142f3fa213148e95f3ccdb3c3743d0365cc61956df2b3600042602077d994d394c64c4b3febf0b9e917b3d820d9fa5b0ece95384c09a4  50    1000  02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
28   4959c2db58e79a08757523d5799b5f3242597955a81ea64632ddc9e42f318b086b9325712bd4e5cd771583a3d2ad06de51d575f24c57bb18edc5049b260b0fb0  29    580   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
27   b24c17d06410e516b5912d246fbec7b9f81ef3280da9aa10515ed1dd230bf0c567dfb8c17cf22003043ade8bae41cec82208ae0f9aa28f0f051bb239da4a1501  23    460   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
26   8db477dc2d556b83f94dcc4fef3bc7297461368140034426c9a77d1804893189451e57bafa4334d3ef7c945fbe9d624c1afd0200c2d4e78272fb883d9a0663cb  9     180   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
25   74640162f434931e6a5f20ffe4465d219745f1c38039b5b0f228cdf5e90b8da424e017509ad82b6770cc8309a333537191561a8a97588ae31e125ca710d59509  3     60    02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
24   2e72a976c6f13d8e388f1f8be820c13b436a3d4778e4ee2566f47571e884d7fc00929faf37de46241f93df26b53cb99be5554b9c7b55cc78a37d91a734aac416  10    200   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
23   0e4f2e100f08e526adc73961cbf71fb2b5f52b30944c105b0d3deec7e2a6e91b61c13432d045328347ddf9898b4a289057578614d19bd03b15d2ea4946a966cb  8     160   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
22   2137cc357a97cde75e71307667e160c993b7e12b728f6f74c0bee6c36de942597fbcc2e8a053733de5c596d5d5b0c4d186edfd20f6fd48be2828f3279a5876bd  5     100   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
21   8e1fb72f157fc5780a44a45085c827397d11419a9370b4bcb1d8dea15366027a5c3b235dcb673114f3e28463597d3461beb7d9b5563f24062f5001aedf9e4871  10    200   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
20   461f8bc4c418a743c70e3c272b1ccd3da6f922f101763dcdf6fb6180455a52d230b2a6f64cf828a5de21c071da7700daa42ee39bc7c70dea3829795ef5755487  5     100   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
19   54497fd87bd1c297ec86371ff168658aca42b6d114f637616c7b7aa6a5dcd12e29556fdaebf64b68743244d07e85dcd7e86d62bef30131a548eccc055c82a521  10    200   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
18   cfd355b42fb48288e35de97a2967f89cb70fc1a381775975665f707fd61403985326018c4f6b13fcaea533324071bf50bec1a21061efafdaff4fe93a806da943  6     120   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
17   33b563e1bd9e88863ff96ef43f1d2aa52eb5672ef572c947bce8bc3eaff13a483d90446683c9f22b333b886ee149ef23e5dd8956c901f5846024f34271b45de0  17    340   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
16   7195e15aeaabb42392a65d95845c0d3e4f64953903beae7b34d6a1ebd61430164689c1bc9f78e3caa73597f047e4b4d7e2601aa27756d17e52d88895660a1c10  45    900   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
15   72818b120b1caa4eb67cbacbb08af17c9d60491dbcbb71c81702b874b6b76a5b5f9d95b3c78eeae08bd78fa2b068c13bb6581898337166e167658fad8546e9be  10    200   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
14   06d628ceba47f088a4b629812366d320effae5a1cd78279a17f30eb90328795321b9e0c77ca2d6e5f4a8bf287f731a229405bae5e90ab316b6b20d7f2851c7d7  9     180   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
13   fee5062f29e2f3879fb6936b8b0ecf4a9f03184ed6f4124be9fd7c1ba2388ae00e1905a97973858f8916d16d3a2713c709ac6bb03e107fd94c44ad3537e93001  23    460   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
12   4f1d29d704d2e493591cd8cd838e4b17dc1d29ec111b0431758fe2da349579c1723d140de057d71bd6f6a3b5d882159d3072130880b790bd1162f29f2e520de4  30    600   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
11   7842aa8e0bf513a9234430270536d847c830593d1b6b5b48b3150672b91521b070829a22b816263cb390bd65b6b3ad400e236d6391cc20e320afeb7f47862ecc  35    700   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
10   6b9dd0efbc690934021dd4e8d37b55252f95cd081e8bde06bae539bc7f88990c0cb9d85e819fed77237c284083a8fff2c9ec755a8fe76875b1f3e1fcbd824a12  24    480   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
9    7a238eae3c8e92f71ae1626c83887694112319d01c3045ad83bfe08f2880f98152938e0b53c09cbfae49bdd4e54ebb43eddd9eba7f6fb5a5a3a0da5923fb1b9d  46    920   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
8    6385177342f4784e8aa98d7b002ca4eaab3d1256dbd95d109ebc83a18636b73515ab43a297869a1c1f87ba3bfee746eee334c9fa800707796f551117a0577a30  5     100   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
7    d1af58199cd80da98e43ba95be392387ce5108a642cae4c130f089e5ce1c43e54bb9d3ee780a58385207b1abb2f79eefc62f8d2ddcc75b6a29e227a83e9cf6be  8     160   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
6    5e64b8e5c04acabe3a5174e37f5b98af04556eedb41ea1fd53c156d79825f11941d4d10eebfe7ef373fc2ae28484bca1578d40b909f7348077d47a870667d62a  32    640   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
5    7c83fc4cd2e5b45d2c242caeff61aa76e66ede268c63f0b49f303ba6aa6fabc91031e270e30e88e62778f417e336553d9c96558be9624df6df0e2a561b40b213  13    260   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
4    a31803583d8a98990aa40d32a8fabcb8b02fdb80cf609265378c5e3a7993c6cd0959a386cb4859bcdaab319d5669952abf5ab9f64879041dc9da2d5546dc9257  24    480   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
3    d312bd17c2ad454ea909d7d823958272a3878ef17284f5b6557cbff45aad96a227259ea78b9af14303e92e93091eba5f3a3989c5ba298e14d789c1a3d57e05b0  32    640   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
2    92116d25fbcec563749e8bcf6c9bd2e98f2891a72015f9336787220ebed3fd175ef7c92642bde9f3ce16da3d4fdfeec677556320d9a576bd9a331b45a7e6db90  11    220   02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
1    cb731cb4b6a3b971a35c03962ad2236137d08139e7dc2282f8cdc329337acfc8343597122fb5dec18606dc0eabaa48064c21e5fd252bee531b47a83b0ab5b78d  1     20    02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
0    84ed9c5d6b684d2f4f0587da895d449fd58113cf93b9389e40ef40957967b42e78b93262f49af5e07e92a4c7d8683293e692878fcfe6c4f22ba1cfc5707ae852  4     12    02b866a4e77f387848258d4445a87b40273d49d45c66b9188f98f674cb546f9f50
