0.10144927536231885
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
62   2ef346a29fcaa64090576c46dcad7724ae0fa24785a6d3c9051b389faec24ea008af577f6f6ffc120b2ceebd5937739f68b28673e24b1f48321e9edf06dc1a9e  37    740   021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
61   0e272e9476ac0ff8af8b00984ac2f7f86a2f05ca1ba5f9a644fad96fe4e715d86015b4ad7d2c69eda1fffa3dfcda93dfda4aeccfe7052741853d9d4b25ec0f0a  5     100   03f4ce9ac12292480e28b2bc26f2b8663884d6a33b02d54e00e907ef8e1c7983cb
60   ae567fa8963d668fea68bf5bfd921f9ee1849e2229fc4df3ed3921b9095be90b491f274c62d0ea867f84d3830057d96ac7e3381518aa9956de2c227e3b3e0f73  26    520   021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
59   bfd4600e84dbae48b8ae01d3f61fdc506871c6a4c584b971bc5941e5500f4c90080bf483a510bb77591f99ca9f36150b60585e2d1873dcbc49cb6908faadc538  58    1160  03f4ce9ac12292480e28b2bc26f2b8663884d6a33b02d54e00e907ef8e1c7983cb
58   bfe38d4a42ef06d139e5266bf0affeb07e3f968a6d2d58254e3cd5406b94ae3040c411ffc264d56d5defd0fdaeb8cadc28ab85daec631c26ec57bfe352dbf379  4     80    021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
57   4b23cefff9f05a124c0fc06d9d2720423d165a88ba9a89ab822e509784ee9d4009923981dfe65bfa32f86fede0c7e5ce95a621cf709d3cf8975e548284af0901  18    360   021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
56   d2a89e5596ec8b68ae461649f10a712fff13b1e0e67973df7f9ec537f35be66e58c46fff9927f056e6b83837caa9a38445d4887baa7e6b48f02620d3482c0784  10    200   03f4ce9ac12292480e28b2bc26f2b8663884d6a33b02d54e00e907ef8e1c7983cb
55   ce9a41988251b80a76f83412b85800689d85f4926ec5ba2972e65e391f834acb4a33ee95676c8b12217a5949e3e9665284500d062eef8bd96842649b6f86ce36  7     140   021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
54   899bc41f82d564e61bce1f7fe6a8515c4b361265a68ed7296b269d3214e316fe54f286125e2fbb4b37cd3d91ef4ebab1476eba11429d59c077bbb130757f762e  17    340   03f4ce9ac12292480e28b2bc26f2b8663884d6a33b02d54e00e907ef8e1c7983cb
53   dfa2ca5adb30d53cc3b2c84c1023bd64382d845d55cb97588aea5f4354eee13a3f1f33fcaf3d622ba63dd5fb04e568210cbf74e320c7828deb2088bf145bb458  4     80    021a3e9758e98066fbb683e6cd4398be10eef79497f40a90d53bb218221465c972
