round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,83.8MB,18.3MB,64.11%,10.55%,1.9GB,12.6MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.16%,0.00%,15.7KB,3.6KB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,10.8KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,28.6MB,24.8MB,52.82%,18.16%,61.8MB,31.7MB,0B,0B
round0,Docker,sawtooth-rest-api-0,228.9MB,75.6MB,101.05%,23.20%,1.2GB,1.9GB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,10.8KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,27.3MB,27.1MB,0.70%,0.28%,14.8MB,15.1MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,29.4MB,25.2MB,53.04%,19.66%,66.3MB,33.4MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.75%,0.00%,15.8KB,3.6KB,0B,0B
round0,Docker,sawtooth-validator-1,794.0MB,516.9MB,108.99%,77.30%,62.2MB,96.5MB,0B,0B
round0,Docker,sawtooth-validator-0,1.0GB,627.1MB,115.69%,97.19%,80.6MB,1.2GB,0B,0B
