Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
1,0,1,5TPS,5020,0,5.0,0.03,0.01,0.01,5.0,0.0,66,4872,1020.0,4.8,15.9,5.0,50.0,0.04
1,1,1,5TPS,5020,0,5.0,0.11,0.01,0.01,5.0,0.0,56,5032,1020.0,4.9,19.6,5.0,55.0,0.02
1,2,1,5TPS,5020,0,5.0,0.03,0.01,0.01,5.0,0.0,59,5032,1020.0,4.9,18.1,5.0,50.0,0.02
1,0,1,10TPS,10020,0,10.0,0.29,0.01,0.02,10.0,0.0,56,9592,1000.0,9.6,19.8,5.0,50.0,0.04
1,1,1,10TPS,10020,0,10.0,0.24,0.01,0.02,10.0,0.0,52,9872,1000.0,9.9,22.6,5.0,55.0,0.01
1,2,1,10TPS,10020,0,10.0,0.33,0.01,0.02,10.0,0.0,56,9932,1005.0,9.9,22.4,5.0,55.0,0.01
1,0,1,15TPS,15020,0,15.0,1.33,0.01,0.08,15.0,0.0,59,14792,995.0,14.9,19.2,5.0,70.0,0.01
1,1,1,15TPS,15020,0,15.0,0.94,0.01,0.04,15.0,0.0,49,14592,990.0,14.7,22.0,5.0,60.0,0.02
1,2,1,15TPS,15020,0,15.0,0.94,0.01,0.05,15.0,0.0,51,14412,995.0,14.5,21.0,5.0,55.0,0.03
1,0,1,20TPS,20020,0,20.0,1.49,0.01,0.10,20.0,-0.021,49,18752,975.0,19.2,23.8,5.0,65.0,0.04
1,1,1,20TPS,20020,0,20.0,1.41,0.01,0.09,20.0,0.0,37,17092,975.0,17.5,27.7,5.0,80.0,0.14
1,2,1,20TPS,20020,0,20.0,1.61,0.01,0.10,20.0,0.0,32,18692,975.0,19.2,33.9,5.0,90.0,0.04
1,0,1,25TPS,24500,520,25.0,2.05,0.01,0.11,24.5,0.0,30,21052,970.0,21.7,34.0,5.0,65.0,0.13
1,1,1,25TPS,21740,3280,25.0,2.16,0.01,0.12,21.8,0.0,24,20412,950.0,21.5,43.5,5.0,95.0,0.01
1,2,1,25TPS,23780,1240,25.0,2.02,0.01,0.15,23.8,0.0,36,20432,955.0,21.4,26.3,5.0,90.0,0.11
1,0,1,30TPS,25520,4500,30.0,2.05,0.01,0.10,25.5,0.0,39,23232,945.0,24.6,32.3,5.0,75.0,0.04
1,1,1,30TPS,24700,5320,30.0,2.40,0.01,0.11,24.8,0.0,33,22072,950.0,23.2,32.5,5.0,80.0,0.07
1,2,1,30TPS,23040,6980,30.0,1.91,0.01,0.10,23.1,0.0,25,19992,950.0,21.0,39.5,5.0,90.0,0.1
1,0,1,35TPS,23660,11360,35.0,2.19,0.01,0.13,23.7,0.0,33,22072,950.0,23.2,34.4,5.0,95.0,0.02
