round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,87.9MB,17.8MB,63.82%,10.83%,1.8GB,12.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.5MB,20.5MB,0.00%,0.00%,10.8KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.5MB,46.5MB,0.00%,0.00%,10.7KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,28.3MB,27.8MB,1.40%,0.43%,22.2MB,22.7MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,29.0MB,25.0MB,54.29%,18.93%,63.9MB,32.4MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.5MB,46.5MB,0.00%,0.00%,10.7KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,27.8MB,24.7MB,51.28%,16.44%,54.8MB,27.9MB,0B,0B
round0,Docker,sawtooth-rest-api-0,173.9MB,69.6MB,100.44%,22.45%,1.1GB,1.8GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,10.8KB,0B,0B,0B
round0,Docker,sawtooth-validator-1,814.4MB,543.9MB,109.29%,92.62%,70.8MB,88.0MB,0B,0B
round0,Docker,sawtooth-validator-0,950.7MB,606.0MB,122.93%,97.31%,77.8MB,1.1GB,0B,0B
