0.8068181818181818
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
17   c0d94ade359a904ed9c5b393b548a91dd76d7b30728ec24c951738b04ac7befb39c4a6e6d4a055ba0311fbbf938128132c64ab97afacc2ef6cb503f607d7f070  24    480   0310cb6e586780a4aac36c4dc480a17e0d06e0a8a4f5dbdb1f04d62a2018649f1f
16   f80a88164fe6f589ad382a0d6ae3c3ec9ccf62a1bfd66fbd834fb943852b81155b77a1fda44d5598422fde5d2b60c1a97349bafa4c3476302b52ed72850db1bf  8     160   0310cb6e586780a4aac36c4dc480a17e0d06e0a8a4f5dbdb1f04d62a2018649f1f
15   f4c461a7ceeae66568ce30c37ff6451626d4c54475ebaec465624072fcda167c49092ccebf44d42be65322d8a9258c56ffccc43406f5535bd9979d9c1a244c1a  35    700   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
14   5a89250cf692b16abf5270f8be3b5c515bb8f1957e11e61063fed6b28bbf0865477aedd55244c557685c91d4df9a7b7f0da07a22096b322a1d87485b14f135cb  16    320   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
13   bda6e9ae4a3066d14fa0f17b90cb340e204f53e906973bd24c3ce5dd2cabccc35c30965afcfcd0c4a399393463182b16b2013b990be0374f84c18b8e46f28bcf  5     100   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
12   2d37b5ce3ca8e1f014cfadc7ece12f3d24027f343603c135dde7b4690be9ad105974d6eae9d87fb7d83055c6b5e84b5d08b22161ae04305cf131a9b4218a1a51  13    260   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
11   de6c47e93303b961cac8ecf34ba3bf35cd18e177b63566d163f5d326ecedd6c152866af5b9fdd1423f672097ac6f68965f85771126e961fd6fc7aba95faeb772  5     100   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
10   8c30186f187f595577997bd2f605d32418b4c21f6cd0292ce0fa57a93221745f1ca7b8e811fc4be700f57d713a8fb687dde3cee368d5372b9d2fb87210d98b10  13    260   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
9    533158ced5e8bd66a1ecdd5e9b4762f2299d736234641b0d4cfe7dac5d19622a62c3fc169fd092a22f9772f3d9c5b620957de1df11f7aebf10fe33050bd63185  6     120   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
8    14574bc964d3589d4615d836e598c1b6b8c13b1150bf76012afc2920ff0f751a351b697d6ff0c8193b7a65bcf55577699cc9ac1f4563fcf41ad777c4666e99ee  7     140   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
7    921d440be3bc2c55a6cc51a4a231c430accdaaaa170cfa4fe809f8856eb7ed5560b1b024e2828f8de914b4fa653aa0fd008fca6610dfef47125951bbb8927de1  21    420   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
6    9cd37307a311773b5d6041ba6f92cbf27b65c1b480f6c2a61f90b2650bb6b3201e95f54ea4b8200d6190af354d5b71808d116ed08a3e10c3a1e102abfdbfcfd9  12    240   034addfe23608151e7bb6c3a431111fb0f87302c359e1072d856961fea4602bfe0
5    3d52fbca21d08ee81b03924379c04964d744792bcf2626484d303c09247eb9a4467534c8db5d66627062a6d7ebcb04041a395aae8f1759484fc015c03d8013d4  6     120   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
4    55a15eed9d11688556dc378941fa2f6fb77b11fb7de8067dd7d2580f8e68b81557c6b19b3ac5ae614298c3a508787ffa9eb425889c6f2f50612e003a886d8446  6     120   02de8e04a5a91ed94d5138c35fb8b1c241ae5f1093d106da88fb45d9e4089d7586
3    9cd315fcc08f07dbe767743d353db218abb73f50bf8ea4704ec3640a13a5b31f13e2c6008df7c9e9ce035ee1580075a18d0bc20bbfd484c7d1b6a90c3165d238  7     140   0318a823b518ed0003e3fc94559a6741ea2004115659db76a3ee31335a6eb13ac1
2    3cccef915b8b48ece8d4b7295623491b8c465efebaea1a529c9f7e08fbcfe5a53af49396e04d7ec66efd6d8b2221ccdcd93e33273db26f2618942b8e531ca396  21    420   02de8e04a5a91ed94d5138c35fb8b1c241ae5f1093d106da88fb45d9e4089d7586
1    997543997412d6b6b899d6c22e10bc0c963966bcb21bfe0559827a9697250a972ef08a16044a4265d502c5401fc683b2a29090cc598ab72e338d75161bc49422  28    503   034addfe23608151e7bb6c3a431111fb0f87302c359e1072d856961fea4602bfe0
0    844fbbbcfd4bc4b81ac2f124ce7e10f4b7b7a6a6785b06d6ea132da81806fc1e33312be1a4047203b2c55348b0c8e642427371b8de038b7579584483b63768bf  4     12    034addfe23608151e7bb6c3a431111fb0f87302c359e1072d856961fea4602bfe0
