Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,45,0,sawtooth-shell-default,90.9,18.7,52.87,10.57,2.1,14.6,0,0
1,45,0,sawtooth-rest-api-0,293.3,90.1,100.52,23.95,1.3,2.2,0,0
1,45,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.2,0,0,0
1,45,0,sawtooth-intkey-tp-python...ult-0,27.7,24.5,44.47,15.75,51.0,25.1,0,0
1,45,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.2,0,0,0
1,45,0,sawtooth-validator-0,1.0,614.9,109.77,94.50,62.7,1.3,0,0
1,45,1,sawtooth-shell-default,78.0,18.6,52.13,9.67,2.1,14.7,0,0
1,45,1,sawtooth-intkey-tp-python...ult-0,26.8,23.9,46.01,14.92,47.2,23.3,0,0
1,45,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.4,0,0,0
1,45,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.3,0,0,0
1,45,1,sawtooth-rest-api-0,243.0,87.4,100.77,24.80,1.3,2.2,0,0
1,45,1,sawtooth-validator-0,905.2,581.8,106.01,94.62,60.8,1.3,0,0
1,45,2,sawtooth-shell-default,106.1,18.5,55.26,11.05,2.1,14.2,0,0
1,45,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.2,0,0,0
1,45,2,sawtooth-intkey-tp-python...ult-0,27.4,24.0,45.28,15.38,49.0,24.2,0,0
1,45,2,sawtooth-rest-api-0,276.1,84.0,100.80,22.35,1.3,2.1,0,0
1,45,2,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.3,0,0,0
1,45,2,sawtooth-validator-0,928.4,554.8,108.34,93.60,61.6,1.3,0,0
1,50,0,sawtooth-shell-default,57.4,18.5,56.76,9.28,2.1,14.7,0,0
1,50,0,sawtooth-rest-api-0,284.9,90.4,100.88,25.32,1.3,2.2,0,0
1,50,0,sawtooth-intkey-tp-python...ult-0,27.9,24.3,46.24,16.02,51.5,25.4,0,0
1,50,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
1,50,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.3,0,0,0
1,50,0,sawtooth-validator-0,991.8,599.0,108.64,92.89,66.8,1.3,0,0
1,50,1,sawtooth-shell-default,114.8,18.4,60.69,12.01,2.1,14.4,0,0
1,50,1,sawtooth-intkey-tp-python...ult-0,27.1,24.0,44.67,15.21,48.9,24.1,0,0
1,50,1,sawtooth-rest-api-0,204.7,85.4,100.42,22.08,1.3,2.1,0,0
1,50,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,10.2,0,0,0
1,50,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.3,0,0,0
1,50,1,sawtooth-validator-0,964.8,558.8,108.21,92.20,65.2,1.3,0,0
1,50,2,sawtooth-shell-default,93.8,18.5,55.74,10.03,2.1,14.4,0,0
1,50,2,sawtooth-poet-validator-r...-tp-0,46.7,46.6,0.00,0.00,10.3,0,0,0
1,50,2,sawtooth-intkey-tp-python...ult-0,27.0,24.1,42.67,14.16,45.8,22.6,0,0
1,50,2,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.2,0,0,0
1,50,2,sawtooth-rest-api-0,204.0,81.0,100.25,23.62,1.3,2.1,0,0
1,50,2,sawtooth-validator-0,981.9,597.9,108.09,93.45,63.6,1.3,0,0
1,55,0,sawtooth-shell-default,114.9,19.1,58.66,9.88,2.1,14.3,0,0
1,55,0,sawtooth-intkey-tp-python...ult-0,27.5,24.1,44.69,15.51,49.4,24.4,0,0
1,55,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.3,0,0,0
1,55,0,sawtooth-rest-api-0,257.9,85.0,100.55,23.37,1.3,2.1,0,0
1,55,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.4,0,0,0
1,55,0,sawtooth-validator-0,927.4,550.1,108.70,92.48,69.1,1.3,0,0
1,55,1,sawtooth-shell-default,82.4,18.3,58.41,9.70,2.0,14.1,0,0
1,55,1,sawtooth-intkey-tp-python...ult-0,26.9,23.8,45.98,14.65,46.5,22.9,0,0
1,55,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.2,0,0,0
1,55,1,sawtooth-rest-api-0,256.5,83.5,100.52,24.13,1.3,2.1,0,0
1,55,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.3,0,0,0
1,55,1,sawtooth-validator-0,964.7,550.9,108.41,92.05,67.5,1.3,0,0
1,55,2,sawtooth-shell-default,88.5,18.9,54.68,9.51,2.1,14.5,0,0
1,55,2,sawtooth-intkey-tp-python...ult-0,27.3,24.2,49.10,15.45,49.1,24.2,0,0
1,55,2,sawtooth-rest-api-0,216.7,91.7,100.79,24.52,1.3,2.2,0,0
1,55,2,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,10.2,0,0,0
1,55,2,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,10.3,0,0,0
1,55,2,sawtooth-validator-0,1001.7,614.3,111.81,93.56,69.1,1.3,0,0
1,60,0,sawtooth-shell-default,104.9,18.8,54.73,9.62,2.0,14.0,0,0
1,60,0,sawtooth-intkey-tp-python...ult-0,27.0,24.0,47.31,15.00,47.0,23.2,0,0
1,60,0,sawtooth-rest-api-0,209.2,84.9,100.30,23.86,1.3,2.1,0,0
1,60,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.4,0,0,0
1,60,0,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,10.4,0,0,0
1,60,0,sawtooth-validator-0,911.6,568.4,106.95,93.06,71.4,1.3,0,0
1,60,1,sawtooth-shell-default,107.2,19.5,57.04,9.16,2.1,14.5,0,0
1,60,1,sawtooth-rest-api-0,252.6,86.0,100.83,25.15,1.3,2.2,0,0
1,60,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.3,0,0,0
1,60,1,sawtooth-intkey-tp-python...ult-0,27.3,24.3,45.37,15.51,49.1,24.2,0,0
1,60,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.2,0,0,0
1,60,1,sawtooth-validator-0,980.7,623.7,109.76,94.98,72.5,1.3,0,0
1,60,2,sawtooth-shell-default,42.5,18.5,53.87,11.03,2.2,14.7,0,0
1,60,2,sawtooth-settings-tp-0,20.2,20.2,0.00,0.00,10.3,0,0,0
1,60,2,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.4,0,0,0
1,60,2,sawtooth-intkey-tp-python...ult-0,27.2,24.2,47.02,15.11,48.3,23.9,0,0
1,60,2,sawtooth-rest-api-0,224.6,87.4,100.52,23.45,1.3,2.2,0,0
1,60,2,sawtooth-validator-0,1.0,608.3,109.22,94.09,72.3,1.3,0,0
1,70,0,sawtooth-shell-default,116.9,18.9,51.73,9.73,2.1,14.7,0,0
1,70,0,sawtooth-intkey-tp-python...ult-0,27.0,24.0,47.45,15.05,48.5,24.0,0,0
1,70,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.2,0,0,0
1,70,0,sawtooth-rest-api-0,274.1,84.2,100.17,25.47,1.3,2.2,0,0
1,70,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,10.3,0,0,0
1,70,0,sawtooth-validator-0,923.0,564.4,109.51,94.08,79.5,1.3,0,0
1,70,1,sawtooth-shell-default,91.5,18.4,53.34,10.60,2.0,14.1,0,0
1,70,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,70,1,sawtooth-rest-api-0,207.8,84.5,100.92,23.48,1.3,2.1,0,0
1,70,1,sawtooth-intkey-tp-python...ult-0,27.2,23.9,44.59,14.77,48.0,23.7,0,0
1,70,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,70,1,sawtooth-validator-0,986.3,554.0,106.52,92.71,79.1,1.3,0,0
1,70,2,sawtooth-shell-default,107.0,18.8,53.93,10.87,2.1,14.6,0,0
1,70,2,sawtooth-rest-api-0,271.5,90.2,100.17,22.61,1.3,2.2,0,0
1,70,2,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.3,0,0,0
1,70,2,sawtooth-intkey-tp-python...ult-0,27.5,24.4,44.35,15.51,49.9,24.6,0,0
1,70,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,70,2,sawtooth-validator-0,937.3,587.5,109.28,92.28,80.1,1.3,0,0
1,80,0,sawtooth-shell-default,84.4,18.9,58.12,9.77,2.0,14.1,0,0
1,80,0,sawtooth-intkey-tp-python...ult-0,27.2,24.1,44.37,14.90,48.1,23.7,0,0
1,80,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.3,0,0,0
1,80,0,sawtooth-rest-api-0,228.4,88.0,100.52,23.38,1.3,2.1,0,0
1,80,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,80,0,sawtooth-validator-0,956.8,574.0,111.25,94.38,86.2,1.3,0,0
1,80,1,sawtooth-shell-default,82.4,18.7,55.64,9.60,2.2,15.1,0,0
1,80,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,10.2,0,0,0
1,80,1,sawtooth-rest-api-0,251.1,90.3,100.44,25.41,1.4,2.3,0,0
1,80,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,10.2,0,0,0
1,80,1,sawtooth-intkey-tp-python...ult-0,27.4,24.3,45.40,15.16,48.6,24.0,0,0
1,80,1,sawtooth-validator-0,888.1,571.6,109.99,92.72,86.9,1.3,0,0
1,80,2,sawtooth-shell-default,109.3,19.2,54.24,11.05,2.0,14.0,0,0
1,80,2,sawtooth-intkey-tp-python...ult-0,27.1,24.0,44.79,14.91,47.6,23.5,0,0
1,80,2,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,10.2,0,0,0
1,80,2,sawtooth-rest-api-0,240.5,86.0,99.89,22.16,1.3,2.1,0,0
1,80,2,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,10.3,0,0,0
1,80,2,sawtooth-validator-0,965.0,577.0,112.25,93.79,85.8,1.2,0,0
2,45,0,sawtooth-shell-default,80.8,17.2,55.22,13.05,1.8,12.9,0,0
2,45,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.55,0.00,15.8,3.7,0,0
2,45,0,sawtooth-intkey-tp-python...ult-0,28.2,24.3,53.22,17.43,58.2,29.8,0,0
2,45,0,sawtooth-rest-api-0,179.2,62.2,100.69,22.99,1.1,1.9,0,0
2,45,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.7,0,0,0
2,45,0,sawtooth-rest-api-1,28.3,27.7,1.41,0.32,16.7,17.0,0,0
2,45,0,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,10.7,0,0,0
2,45,0,sawtooth-intkey-tp-python...ult-1,29.0,24.5,53.78,18.40,63.5,32.3,0,0
2,45,0,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.71,0.00,15.7,3.6,0,0
2,45,0,sawtooth-validator-0,871.6,541.9,113.50,95.72,75.6,1.2,0,0
2,45,0,sawtooth-validator-1,785.1,501.4,107.71,88.16,61.4,88.5,0,0
2,45,1,sawtooth-shell-default,72.3,18.8,62.79,11.19,2.0,13.2,0,0
2,45,1,sawtooth-rest-api-1,27.8,27.3,1.43,0.32,16.7,17.0,0,0
