0.8630705394190872
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
33   bc16abd41254ca9ec2916f3ce450a4e56d89cbb5d6fa506661365873323e7595509a5255ff51aae2da71880e7e7f76c45da7c402e162ecf1c7e832106a97160d  28    560   026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
32   89a47f58bec9c9f1657594647083fd07912dcdb4090919d3ef05dad469981b620e8c0ea0dafe46907ff2c4f9e7254a47a5c52819899305cd2353a3811affc68f  20    400   026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
31   be80213290e64fc45270466fbc0e1d42563f40f3b71561af08fcbfeb523bfff13d64e74873bac3c6b6633b2a94ce071996705213257e68de85bdfbe75838ffd3  8     160   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
30   3f73e262f07fea159fe6360b9e677eb815bba13704d9e31c692a08da92657d8d49be2dfaa94b667c3417402185a95229be63162f17a3ffa5bd21ff9f19a8a0b4  7     140   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
29   42474d8ed7e7d4852c051623617ce2b4dc9260d971de7c55b063dc0c4cc8e00c200d8997611abaa26c23ffd0086cccfa7476098c678362830e8e8adc3ae4a828  6     120   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
28   4d534aeb8050091f39f8ac631dc729bbe4f9742b901012164798f58aa9bb55a95439e560981e6f2ba98950515263677a95ed64f1029adba0b6cd4c9f61a31d90  11    220   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
27   282de85ddfd31c848dd9012784a87c32cae844866f80dbf4bc9f85170851effd22a58375b4c4837168e3541aa06186c69813850772bb3ae5cfd5fc700fa2512e  7     140   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
26   53be59180c0ebf35e4d0dd3fb3d96e79e7a0e984cf1c6f41e65f3e2e4cce4f3a722b506126cb53157db1fb42a6fcbf11cf2237f53a879c516a56194060ccc689  13    260   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
25   4987881491caf4f53459c0b02f5a1ee4dacc105d9ab07f10e752be5427a7875c4875be0d227ce772f25119ed2c467aaf54f538c7827a45df9351794844e725ce  9     180   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
24   46e01abc3a2c6994def66ba16310f2afdaedb7ec82a7801e2f25dc9fa142e976645afa1ffe05d92b59ad99032c0c352399ccf5b69e25ba96ce5b65e5235918fa  4     80    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
23   4b4187528619731f69244ae66672a638ea4003d0cd85a5a02561c955a5b81c1867ed0769d0582d60c1bf510e09283b66e4f5bbd51cbf8de3471bdfafc8dbc5a0  3     60    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
22   1266c452f8b195c8a90a384d78ca9a9b97db2ae063d9c4dd209bb4e9735199e237815857b977ddc65d26bca7daadc80631d8fe4bdac53da8f6af7808e1d94a4c  11    220   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
21   cbcddaccb5534fe2c0e985b418b2bd9503462cf123e6198dc8523709a93c668934e0b6379ba9dcfa24e2a69705172edd1ddfb9195917ab232c24578bfe648131  2     40    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
20   312f47a907be048115bef77f26ee946fe1525241c1ec07bb324e5cf613b198193a701c5f154161cbf9f47fcc22353443ffb05a7f677a71d2fe21254cd621a994  4     80    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
19   8f1484428a91aa7aa15e1a924c7dad5a38b14e48bbb99a5d3bc5f2d89eb6ef307b6e41e0bd11c6b248bd9521bbd4f9adfba4dd0a5b55994c75b286379975a67b  6     120   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
18   11b8332fd07ee6cd1d905d4a843afb4d321c70b02ad85d58344cc599a865b5424a190c31670307c470870586141d2c90f74d3a572f2f343f5da817effe53a516  3     60    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
17   d3e5a561e807dfe75359d0fe87b0a2f9955dd554b269103953b6e219ec8b912473cb2a24d2d1d845aa0a9a4eea1749a5f7f3a5a23c76dff9cd24bb42ce8b280a  5     100   02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
16   4c77cd8cb2fe8edddde288f1eb4aa57a98632d5678ed0de1021e543da79b94586604d34c09baa6e239ba7b7493b72bdee1812cfd4bf8953308d63c5e4aef22d3  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
15   10df190306447b45f1412e08e9d71ffca80e77475700ab96676692bcee08ce5e16a86bacce2e68b4b97eec40f2e51f65645995e796e00291eae04259dfe58032  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
14   381449b40ea579263e71edb00c9b01ccf0b7c76da7f044d0ce0f1d236a7a42437ffe3bf37c8327461d9b7a6e4da0aa6eab8a615589b593963e62d8f2344f8029  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
13   d0935ef493aa036a221440a0fd8ea4ec7c81b598d754851d02bb5be224038c4f594ab8139ab2d385237bbeddddb21aee2943b1601ab3ff2c351a5f0b58128ac7  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
12   bf71f77b73573a459f8a3a06b31b9c61d85dccb8d646ae40052ffa05014bb25b48c618a2bdbeb626b26117d0f802de01fb4c81fa7a918bd34a6931be1e0074b1  1     20    0310ac3f43c25862ab5a84f546a4b071f99f10e2142a0dba136c553f9f053dad85
11   e60182cfb5756650f3e4ec5de7db9715d534014f7def67b9983caeac8300f6ea05d10636eaea80bdeb3b9f082d73ace67023a1e9fb9131f40a0b5691ba95277f  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
10   b8e770ebaf29edd140a056c2170431e485294253261df3396af2f08c19e9c2a822e2d207c57513881a520013d614cc8b61be4e01a056a1f1a0a073fddec408e6  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
9    e5d16926d54625b5031bce061252af900c34e6e2515b7fefebb22bfe40d7cf1826be0fbca39ff8d3437307f7c3a118203d67066dddd978183ce59f1abe0ff4a2  1     20    0310ac3f43c25862ab5a84f546a4b071f99f10e2142a0dba136c553f9f053dad85
8    f22e71c2f1002736055c59a4e9079cb27885121e9e1d8adb1ac0bd68810bf2183510e6352575743e05b62054671e03f072a7edf090b9e2959a3ffa49693498d9  1     20    026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
7    0e4d48d6c0b1b9004bb8cff47e5949543d59f232da24a0239295f4058ef3ebfa3be5a6007d2c9cdcad842afba67426a9d3590f2812103ddf5430009dee39f626  1     20    026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
6    cab76cd2da4ae8ccb40d99ca0c50fa39d5876fc469533422c9b32a1af254744129260a891966d02b76d28353079f4bf682891bd31588a21f3be68074b3f71376  1     20    0310ac3f43c25862ab5a84f546a4b071f99f10e2142a0dba136c553f9f053dad85
5    96da26ad491f82b685c98da3d8363f93d85cd230892aa86e84090f393d46fb9e5dda858a669c115351b3c69952aa7be1e44f5646ea39628636b6fb62b1cc865e  1     20    02ede1db81be7a11e4adacfde329dccc7c3343547a5234b075bd2764af40ae116e
4    cf8a443fe014c752146e9bc9ef0a63ccbe5cc716e916acd40036175187bdd12751b5edf2aad24d3be241cbaabf7d4b36b7331411fc0f304b925d2179192b10ba  1     20    03ed54d235708c80cd04c0a50ccfa31e8fc08b5d3593ff8a59ac1a5a89da29efbe
3    0176ed0e38ba7af3fd8f7e3e6bdf1717a53caaaeb0af75a3ff76389c301db4050807fb21d32e8370f22f7032d1e561a3323c5c89d6e86304d7c9cac5d084b7da  1     20    03ed54d235708c80cd04c0a50ccfa31e8fc08b5d3593ff8a59ac1a5a89da29efbe
2    9766242f0f3f4576e7c23a68538af91e4ad472a615411042159ba11f3af07448519c436dcb5064e307471326b455e0e09c3157e5b33e164c185e99602b1259c9  2     2     03ed54d235708c80cd04c0a50ccfa31e8fc08b5d3593ff8a59ac1a5a89da29efbe
1    a4fa8cef86c51336c6f257f38359a77f924daad26f0dc0d070860226fff9da825bebe7abd373631ce907f2ecf265f03baef5758a8f61ebfd788c71d91217fcef  1     1     026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
0    e1857711dfe9c64aa7833647b3e8434c558804d455df69740c9c7ca316984e326515fdc1eae2159cf410e9adc417912facba5826760fcef5bbcc13a6fe47a30e  4     12    026330658ca8638a5bbe603f5fe24555ef71970671ff961058864498c7e56561e5
