Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,3,0,sawtooth-shell-default,30.9,13.8,93.03,25.96,537.5,3.9,0,0
4,3,0,sawtooth-settings-tp-2,20.9,20.9,0.00,0.00,2.4,0,0,0
4,3,0,sawtooth-intkey-tp-python...ult-2,26.5,23.4,48.67,30.23,42.4,21.0,0,0
4,3,0,sawtooth-rest-api-2,27.3,26.7,1.28,0.04,944.5,963.0,0,0
4,3,0,sawtooth-poet-validator-r...-tp-2,47.0,47.0,0.00,0.00,2.3,0,0,0
4,3,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,2.3,0,0,0
4,3,0,sawtooth-intkey-tp-python...ult-0,26.1,23.4,53.59,29.03,40.1,20.0,0,0
4,3,0,sawtooth-rest-api-0,62.3,39.6,102.23,17.29,324.2,539.9,0,0
4,3,0,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,2.5,0,0,0
4,3,0,sawtooth-intkey-tp-python...ult-1,25.9,22.9,47.98,28.94,40.5,20.1,0,0
4,3,0,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,2.4,0,0,0
4,3,0,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.4,0,0,0
4,3,0,sawtooth-rest-api-1,27.1,26.6,0.82,0.04,945.3,961.4,0,0
4,3,0,sawtooth-rest-api-3,27.0,26.5,0.83,0.04,959.8,979.4,0,0
4,3,0,sawtooth-intkey-tp-python...ult-3,26.3,23.3,48.21,29.90,41.3,20.5,0,0
4,3,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,2.4,0,0,0
4,3,0,sawtooth-settings-tp-3,20.6,20.6,0.00,0.00,2.4,0,0,0
4,3,0,sawtooth-validator-2,286.8,190.8,102.45,68.02,40.4,51.5,0,0
4,3,0,sawtooth-validator-3,305.2,200.8,110.94,67.71,39.7,50.6,0,0
4,3,0,sawtooth-validator-0,348.0,232.6,112.23,72.22,46.9,417.9,0,0
4,3,0,sawtooth-validator-1,310.7,202.0,102.80,66.22,42.5,46.6,0,0
4,3,1,sawtooth-shell-default,32.5,12.5,93.35,29.78,395.0,3.0,0,0
4,3,1,sawtooth-rest-api-1,26.3,26.3,0.89,0.04,947.7,960.5,0,0
4,3,1,sawtooth-intkey-tp-python...ult-1,26.1,23.3,56.62,28.50,41.5,20.7,0,0
4,3,1,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,2.3,0,0,0
4,3,1,sawtooth-settings-tp-1,20.6,20.6,0.00,0.00,2.3,0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-2,25.9,23.1,48.51,26.07,38.0,18.8,0,0
4,3,1,sawtooth-rest-api-2,26.3,26.2,1.00,0.04,946.7,959.5,0,0
4,3,1,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,2.3,0,0,0
4,3,1,sawtooth-poet-validator-r...-tp-2,46.8,46.8,0.00,0.00,2.4,0,0,0
4,3,1,sawtooth-poet-validator-r...-tp-3,46.6,46.6,0.00,0.00,2.2,0,0,0
4,3,1,sawtooth-rest-api-3,26.5,26.4,0.88,0.04,961.1,976.7,0,0
4,3,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,2.4,0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-3,25.7,23.0,48.02,26.16,37.2,18.4,0,0
4,3,1,sawtooth-rest-api-0,57.6,36.8,100.77,11.75,239.8,397.0,0,0
4,3,1,sawtooth-settings-tp-0,20.9,20.9,0.00,0.00,2.3,0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-0,26.2,23.2,48.18,27.46,40.1,19.9,0,0
4,3,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,2.3,0,0,0
4,3,1,sawtooth-validator-1,348.3,223.2,108.07,60.98,46.3,102.2,0,0
4,3,1,sawtooth-validator-2,312.6,195.2,106.54,56.42,42.1,44.1,0,0
4,3,1,sawtooth-validator-3,304.9,189.2,100.76,54.88,40.3,44.7,0,0
4,3,1,sawtooth-validator-0,333.3,201.9,110.12,65.45,39.2,287.0,0,0
4,3,2,sawtooth-shell-default,32.3,13.2,95.54,31.93,428.0,3.2,0,0
4,3,2,sawtooth-rest-api-2,26.8,26.4,1.13,0.04,945.9,961.3,0,0
4,3,2,sawtooth-settings-tp-2,20.7,20.7,0.00,0.00,2.4,0,0,0
4,3,2,sawtooth-intkey-tp-python...ult-2,26.1,23.2,48.34,28.96,40.7,20.1,0,0
4,3,2,sawtooth-poet-validator-r...-tp-2,46.7,46.7,0.00,0.00,2.4,0,0,0
4,3,2,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,2.5,0,0,0
4,3,2,sawtooth-intkey-tp-python...ult-1,26.3,23.4,47.83,29.90,41.4,20.5,0,0
4,3,2,sawtooth-rest-api-1,26.9,26.4,0.87,0.04,944.7,962.4,0,0
4,3,2,sawtooth-poet-validator-r...-tp-1,46.8,46.8,0.00,0.00,2.3,0,0,0
4,3,2,sawtooth-rest-api-0,56.9,36.4,98.35,14.13,258.2,430.2,0,0
4,3,2,sawtooth-settings-tp-0,20.9,20.9,0.00,0.00,2.4,0,0,0
4,3,2,sawtooth-poet-validator-r...-tp-0,47.1,47.1,0.00,0.00,2.4,0,0,0
4,3,2,sawtooth-intkey-tp-python...ult-0,25.8,22.9,48.45,28.15,39.1,19.4,0,0
4,3,2,sawtooth-rest-api-3,26.5,26.5,1.00,0.04,960.8,974.2,0,0
4,3,2,sawtooth-settings-tp-3,20.9,20.9,0.00,0.00,2.4,0,0,0
4,3,2,sawtooth-intkey-tp-python...ult-3,25.8,23.0,48.13,28.33,38.5,19.1,0,0
4,3,2,sawtooth-poet-validator-r...-tp-3,47.0,47.0,0.00,0.00,2.5,0,0,0
4,3,2,sawtooth-validator-2,309.2,199.8,106.38,66.54,42.0,47.1,0,0
4,3,2,sawtooth-validator-1,324.4,205.5,113.95,67.95,39.4,50.9,0,0
4,3,2,sawtooth-validator-0,362.0,219.8,110.89,69.74,41.0,355.9,0,0
4,3,2,sawtooth-validator-3,325.8,204.1,115.45,63.24,43.7,42.2,0,0
4,5,0,sawtooth-shell-default,31.0,13.5,102.06,20.39,737.3,5.2,0,0
4,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,2.4,0,0,0
