Datetime	 Elapsed	 Num Blocks	 Num Txns
2019-04-16 05:17:07.748754	 0.0	 1	 12
2019-04-16 05:17:12.753964	 5.01	 1	 17
2019-04-16 05:17:17.754389	 10.01	 2	 17
2019-04-16 05:17:22.754861	 15.01	 2	 17
2019-04-16 05:17:27.752161	 20.01	 3	 37
2019-04-16 05:17:32.757003	 25.01	 3	 37
2019-04-16 05:17:37.757268	 30.01	 4	 77
2019-04-16 05:17:42.757932	 35.01	 4	 97
2019-04-16 05:17:52.754246	 45.01	 4	 117
2019-04-16 05:17:57.754798	 50.01	 5	 117
2019-04-16 05:18:07.757279	 60.01	 6	 197
2019-04-16 05:18:12.754720	 65.01	 6	 237
2019-04-16 05:18:22.758293	 75.01	 7	 237
2019-04-16 05:18:27.754588	 80.01	 7	 297
2019-04-16 05:18:32.756007	 85.01	 8	 257
2019-04-16 05:18:42.761093	 95.02	 8	 257
2019-04-16 05:18:52.755510	 105.01	 9	 277
2019-04-16 05:18:57.765967	 110.02	 9	 277
2019-04-16 05:19:07.756000	 120.01	 9	 277
2019-04-16 05:19:12.764717	 125.02	 9	 277
2019-04-16 05:19:17.759598	 130.01	 9	 277
2019-04-16 05:19:22.756790	 135.01	 9	 277
2019-04-16 05:19:32.760604	 145.02	 9	 277
2019-04-16 05:19:37.760893	 150.02	 9	 277
2019-04-16 05:19:42.768582	 155.02	 10	 497
2019-04-16 05:19:47.758152	 160.01	 10	 497
2019-04-16 05:19:52.757546	 165.01	 10	 497
2019-04-16 05:20:02.752800	 175.01	 10	 497
2019-04-16 05:20:07.756994	 180.01	 10	 497
2019-04-16 05:20:12.757456	 185.01	 10	 437
2019-04-16 05:20:17.756886	 190.01	 10	 437
2019-04-16 05:20:27.755878	 200.01	 10	 437
2019-04-16 05:20:32.756293	 205.01	 10	 337
2019-04-16 05:20:37.755499	 210.01	 10	 337
2019-04-16 05:20:47.757875	 220.01	 10	 337
2019-04-16 05:20:57.759804	 230.01	 10	 337
2019-04-16 05:21:02.759488	 235.01	 10	 337
2019-04-16 05:21:07.751870	 240.01	 11	 637
2019-04-16 05:21:12.761371	 245.02	 11	 637
2019-04-16 05:21:22.759215	 255.01	 11	 637
2019-04-16 05:21:32.752206	 265.01	 11	 517
2019-04-16 05:21:37.750591	 270.01	 11	 517
2019-04-16 05:21:47.760390	 280.02	 11	 517
2019-04-16 05:21:52.754732	 285.01	 11	 517
2019-04-16 05:21:57.753641	 290.01	 11	 617
2019-04-16 05:22:02.757505	 295.01	 11	 617
2019-04-16 05:22:12.756888	 305.01	 11	 617
2019-04-16 05:22:22.756901	 315.01	 11	 597
2019-04-16 05:22:32.755916	 325.01	 11	 201
2019-04-16 05:22:42.757894	 335.01	 11	 357
2019-04-16 05:22:47.753698	 340.01	 11	 357
2019-04-16 05:22:57.758304	 350.01	 11	 357
2019-04-16 05:23:02.752032	 355.01	 11	 357
2019-04-16 05:23:07.753508	 360.01	 11	 357
2019-04-16 05:23:12.756047	 365.01	 11	 357
2019-04-16 05:23:22.765338	 375.02	 11	 357
2019-04-16 05:23:27.755667	 380.01	 11	 357
2019-04-16 05:23:32.756173	 385.01	 11	 357
2019-04-16 05:23:37.751075	 390.01	 11	 357
2019-04-16 05:23:42.763670	 395.02	 12	 757
2019-04-16 05:23:47.757018	 400.01	 12	 757
2019-04-16 05:23:52.757534	 405.01	 12	 757
