round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,32.8MB,13.7MB,92.62%,29.74%,554.5MB,4.1MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.4MB,20.4MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,27.6MB,27.2MB,2.30%,0.24%,5.6MB,5.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.7MB,46.7MB,0.00%,0.00%,10.3KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,27.0MB,23.8MB,55.02%,32.09%,47.7MB,24.3MB,0B,0B
round0,Docker,sawtooth-rest-api-0,54.1MB,38.3MB,88.07%,19.12%,338.0MB,561.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,26.8MB,23.7MB,54.72%,31.53%,46.2MB,23.6MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.8MB,20.8MB,0.00%,0.00%,10.5KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.8MB,20.8MB,0.00%,0.00%,10.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,47.0MB,47.0MB,0.00%,0.00%,10.5KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,27.1MB,23.8MB,54.86%,32.03%,47.6MB,24.2MB,0B,0B
round0,Docker,sawtooth-rest-api-3,28.0MB,27.6MB,2.42%,0.24%,5.5MB,5.7MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.8MB,20.8MB,0.00%,0.00%,10.3KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,27.0MB,23.8MB,53.87%,32.05%,47.3MB,24.1MB,0B,0B
round0,Docker,sawtooth-rest-api-2,28.2MB,27.7MB,2.65%,0.24%,5.6MB,5.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.7MB,46.7MB,0.00%,0.00%,10.5KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,390.4MB,283.3MB,119.64%,85.84%,51.3MB,438.3MB,0B,0B
round0,Docker,sawtooth-validator-3,388.7MB,252.6MB,115.79%,82.67%,51.1MB,54.2MB,0B,0B
round0,Docker,sawtooth-validator-1,375.9MB,255.3MB,119.13%,83.11%,50.4MB,55.2MB,0B,0B
round0,Docker,sawtooth-validator-2,390.8MB,255.0MB,109.92%,82.70%,50.8MB,54.2MB,0B,0B
