TargetInterval,Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput,Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
3,4,0,1,30TPS,7120,22900,30.0,0.30,0.01,0.05,7.1,0.823,51,4495,1020.0,4.4,26.0,5.0,320.0,0.61
3,4,1,1,30TPS,4700,25320,30.0,0.35,0.01,0.06,4.7,0.876,45,2555,1030.0,2.5,26.4,5.0,80.0,0.88
3,4,2,1,30TPS,5900,24120,30.0,0.31,0.01,0.06,5.9,0.87,42,3075,1035.0,3.0,24.5,5.0,60.0,0.97
5,4,0,1,30TPS,6540,23480,30.0,0.34,0.01,0.06,6.5,0.847,35,4155,1020.0,4.1,28.2,5.0,65.0,0.59
5,4,1,1,30TPS,5620,24400,30.0,0.51,0.01,0.06,5.6,0.863,34,3735,1025.0,3.6,32.7,5.0,95.0,0.56
5,4,2,1,30TPS,8780,21240,30.0,0.81,0.01,0.06,8.8,0.728,50,4475,1015.0,4.4,20.7,5.0,60.0,1.0
7,4,0,1,30TPS,6920,23100,30.0,0.72,0.01,0.06,6.9,0.809,34,1101,1020.0,1.1,31.1,5.0,75.0,5.27
7,4,1,1,30TPS,7240,22780,30.0,0.91,0.01,0.06,7.3,0.779,40,1001,1025.0,1.0,24.1,5.0,50.0,6.3
7,4,2,1,30TPS,7360,22660,30.0,0.54,0.01,0.06,7.4,0.818,33,501,1035.0,0.5,30.7,5.0,80.0,13.8
10,4,0,1,30TPS,4980,25040,30.0,0.47,0.01,0.05,5.0,0.86,21,2515,1030.0,2.4,47.5,5.0,175.0,1.08
10,4,1,1,30TPS,8020,22000,30.0,1.29,0.01,0.07,8.0,0.741,36,4835,1015.0,4.8,31.6,5.0,95.0,0.67
10,4,2,1,30TPS,5080,24940,30.0,0.65,0.01,0.07,5.4,0.836,24,2935,1025.0,2.9,39.5,5.0,70.0,0.86
13,4,0,1,30TPS,6580,23440,30.0,0.26,0.01,0.06,6.7,0.78,26,3001,1020.0,2.9,38.9,5.0,125.0,1.31
13,4,1,1,30TPS,6120,23900,30.0,0.31,0.01,0.06,6.3,0.843,21,2935,1025.0,2.9,47.2,5.0,100.0,1.17
13,4,2,1,30TPS,8040,21980,30.0,1.37,0.01,0.09,8.1,0.748,26,4835,1020.0,4.7,32.5,5.0,90.0,0.72
16,4,0,1,30TPS,6340,23680,30.0,1.36,0.01,0.08,6.3,0.81,23,2001,1020.0,2.0,35.0,5.0,115.0,2.15
