round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,47.6MB,17.7MB,74.24%,19.89%,1.3GB,9.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,99.3MB,52.2MB,88.34%,25.48%,801.0MB,1.3GB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,29.3MB,25.1MB,53.78%,26.36%,65.3MB,33.3MB,0B,0B
round0,Docker,sawtooth-rest-api-2,27.3MB,26.8MB,0.46%,0.12%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,30.1MB,25.4MB,52.54%,29.27%,73.5MB,37.4MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,27.6MB,27.1MB,0.45%,0.12%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,2.8KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,47.0MB,47.0MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,30.3MB,25.5MB,52.32%,29.61%,74.0MB,37.6MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,30.4MB,25.5MB,51.39%,29.74%,75.7MB,38.6MB,0B,0B
round0,Docker,sawtooth-rest-api-3,27.8MB,27.1MB,0.46%,0.12%,4.4MB,4.5MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.7MB,20.7MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,626.3MB,419.5MB,115.99%,87.73%,74.7MB,948.4MB,0B,0B
round0,Docker,sawtooth-validator-2,554.8MB,391.0MB,104.18%,80.85%,71.3MB,87.1MB,0B,0B
round0,Docker,sawtooth-validator-1,548.8MB,384.0MB,108.50%,80.67%,75.7MB,83.3MB,0B,0B
round0,Docker,sawtooth-validator-3,557.5MB,374.8MB,105.93%,82.74%,75.0MB,86.7MB,0B,0B
