TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
10,1,0,1,5TPS10sec,4020,0,5.1,0.27,0.01,0.04,5.1,0.0,77,4032,825.0,4.9,10.7,3.0,33.0,0.04
10,1,1,1,5TPS10sec,4020,0,5.1,0.04,0.01,0.01,5.1,0.0,77,4032,825.0,4.9,11.0,3.0,30.0,0.04
30,1,0,1,5TPS30sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.0,30,4032,825.0,4.9,29.4,3.0,72.0,0.04
30,1,1,1,5TPS30sec,4020,0,5.1,0.27,0.01,0.04,5.1,0.0,31,4032,825.0,4.9,27.4,3.0,72.0,0.04
40,1,0,1,5TPS40sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.0,28,3852,825.0,4.7,26.1,3.0,90.0,0.09
40,1,1,1,5TPS40sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.0,21,4032,825.0,4.9,39.9,3.0,96.0,0.04
80,1,0,1,5TPS80sec,4020,0,5.1,0.04,0.01,0.02,5.1,0.0,19,4032,825.0,4.9,45.9,3.0,162.0,0.04
80,1,1,1,5TPS80sec,4020,0,5.1,0.41,0.01,0.05,5.1,0.0,12,4032,825.0,4.9,70.1,3.0,186.0,0.04
100,1,0,1,5TPS100sec,4020,0,5.1,0.05,0.01,0.02,5.1,0.0,12,4032,825.0,4.9,68.2,3.0,159.0,0.04
100,1,1,1,5TPS100sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.0,11,3332,825.0,4.0,63.0,3.0,234.0,0.27
60,1,0,1,5TPS60sec,4020,0,5.1,0.06,0.01,0.02,5.1,0.0,17,3972,825.0,4.8,47.6,3.0,147.0,0.06
