Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,5,0,sawtooth-shell-default,39.3,11.7,59.62,19.76,1.1,8.2,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-rest-api-0,65.8,39.9,48.34,13.92,705.2,1.1,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.5,20.9,39.45,3.23,8.4,4.2,0,0
1,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,189.4,128.7,98.18,11.84,9.9,702.4,0,0
1,5,1,sawtooth-shell-default,42.4,11.7,60.77,19.79,1.1,8.2,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.7,21.0,38.65,3.64,8.4,4.1,0,0
1,5,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-rest-api-0,73.5,40.1,47.82,13.88,706.1,1.2,0,0
1,5,1,sawtooth-validator-0,184.3,130.4,77.23,12.52,9.9,703.4,0,0
1,5,0,sawtooth-shell-default,37.1,11.6,60.50,19.70,1.1,7.9,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.6,21.0,45.37,3.96,8.3,4.1,0,0
1,5,0,sawtooth-rest-api-0,68.4,39.5,47.67,13.51,670.9,1.1,0,0
1,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,205.4,140.5,84.41,13.04,9.8,668.4,0,0
1,5,1,sawtooth-shell-default,35.1,11.6,57.43,19.73,1.1,7.9,0,0
1,5,1,sawtooth-rest-api-0,69.8,39.1,47.68,13.32,670.1,1.1,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.6,20.9,44.25,3.51,8.3,4.1,0,0
1,5,1,sawtooth-validator-0,203.7,136.2,90.00,12.24,9.7,667.5,0,0
1,5,0,sawtooth-shell-default,36.2,11.6,58.15,19.78,1.1,7.8,0,0
1,5,0,sawtooth-rest-api-0,66.3,39.2,47.83,13.18,668.1,1.1,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.7,21.0,46.25,3.08,8.3,4.1,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,198.2,137.4,83.04,11.29,9.7,665.6,0,0
1,5,1,sawtooth-shell-default,26.9,11.6,57.74,19.69,1.1,7.7,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.7,21.0,41.84,3.74,8.2,4.1,0,0
1,5,1,sawtooth-rest-api-0,67.1,39.0,48.01,12.99,657.2,1.1,0,0
1,5,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-validator-0,209.8,141.7,88.31,12.67,9.7,654.8,0,0
1,5,0,sawtooth-shell-default,34.7,11.4,57.19,19.85,1.0,7.6,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.8,21.1,44.57,3.48,8.3,4.1,0,0
1,5,0,sawtooth-rest-api-0,73.5,38.7,47.59,12.88,642.2,1.0,0,0
1,5,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,218.3,146.9,92.38,12.74,9.6,640.0,0,0
1,5,1,sawtooth-shell-default,36.2,11.6,60.61,19.48,1005.8,7.1,0,0
1,5,1,sawtooth-rest-api-0,69.9,38.2,45.78,12.18,604.8,1011.3,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.8,21.0,44.76,3.44,8.3,4.1,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-validator-0,213.7,139.8,92.90,13.59,9.4,603.0,0,0
1,5,0,sawtooth-shell-default,27.9,11.5,73.10,20.01,1.0,7.3,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.5,20.8,45.20,3.77,8.4,4.1,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-rest-api-0,70.8,38.4,46.24,12.26,615.6,1.0,0,0
1,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,219.4,146.9,96.63,14.29,9.5,613.8,0,0
1,5,1,sawtooth-shell-default,31.7,10.7,55.75,19.54,969.2,6.9,0,0
1,5,1,sawtooth-rest-api-0,66.1,38.1,48.20,11.88,582.9,974.6,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.4,20.8,40.84,2.96,7.7,3.8,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,3.6,0,0,0
