round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,43.8MB,14.9MB,63.06%,19.44%,1.6GB,11.5MB,0B,0B
round0,Docker,sawtooth-rest-api-1,26.4MB,26.2MB,0.79%,0.08%,3.0MB,3.0MB,40.0KB,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,22.7MB,21.5MB,45.62%,5.65%,15.8MB,7.8MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.5MB,20.5MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.7MB,46.7MB,0.00%,0.00%,8.6KB,3.7KB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.8MB,20.8MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,114.1MB,50.1MB,74.79%,19.78%,1004.9MB,1.6GB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,8.6KB,3.7KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,22.9MB,21.7MB,43.86%,5.76%,16.6MB,8.2MB,0B,0B
round0,Docker,sawtooth-validator-1,274.7MB,197.1MB,99.55%,14.45%,16.2MB,21.3MB,0B,0B
round0,Docker,sawtooth-validator-0,362.8MB,230.9MB,100.10%,26.99%,20.7MB,1012.5MB,0B,0B
