0.8443579766536965
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
40   4d0e60a9960ec6de8c1d27f2bc7e6ae2a811b52f92baa31f6a80c4827ba002d346e8329bcbd5833a5958a299564b6ea80d0c4dba7d06ed1b11c4e1b37d88cbd2  8     160   022e1e9a974ef5daa4f4bcf1b633c0ec5934d4c9b455b4643dc9d6f330913c53ad
39   fe591820b5be790a7872f8e798dfdc8003fea30b26ae7710251c174f3290d63e48984a4b3d2098ac30989a1648296fdfc01080be02189f73580bc3726e033800  11    220   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
38   a55c7afa1cd92a0e40c8fdecd5b420500856abe3a3224ee4a86e330fa6abd4a9635a593426fdf7ed93bbe80ec568def7e55a4c0ec6cbf8fa6dd7e1d7f6b53e7a  6     120   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
37   1c5760e4706775147080a318748417bfe04dc2b6e3c992243c1a8c7bc00bba3e4ff992fd222cfebd145889900f08a85620b30ccab78ddafddfb4cccee82a2fe0  2     40    03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
36   2f903539ab3b759349473149e6acf46024314893e95390fba35bec8d5b6a77822a6f883967f041f2ce7b0a38647bad7546889bbda5e3eb27b051a2a2bfebb4a9  6     120   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
35   5d0474c0e3979779bf131d3b5686f541d3f52f2c07884f8d5d40f0c10495e2aa530437ebdcf0e8ef11092d9d6d0e4de281e994c2277bc764e61a11984851c2cd  4     80    03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
34   78a9d20a0210dea37e202a635b4dd9892cdf07d4d8839558cef31ae7e100a66e7fdb787cfa16de8377beb230c721ceee0687e49ab275de64d9125700045ffc04  5     100   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
33   403c95e5295e2755df3147ec1e43d08205c613d4c8c4f0260691adde25821bdb28a10fee734729eaaec1d686f24d2a28f60451e85704f8c705719b1d391960c5  11    220   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
32   fc519b5c43226142e15eb3755a2ab73e85a1d1179ab8f851c849cd7880dab0f23145c9bcdefe637807a66402827be4554b08ceda5931773e1568585716a8c500  9     180   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
31   b74d1a95c5bc3c30369192246664513b64a7eddaca37fd7f597b94e1790a05e4226df6bca084d0c5c43d38483a5534435e5261a56a64ef8b462da483814828e0  7     140   03fde3492871af8e8cfcf8a29968237710f2aadd31903538dcf678def53124464d
