Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,5,0,sawtooth-shell-default,48.5,29.3,57.63,20.00,1.2,8.6,0,0
1,5,0,sawtooth-rest-api-0,83.6,59.4,47.57,14.60,728.0,1.2,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,38.3,37.8,28.96,3.06,8.4,4.2,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,71.9,71.9,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-settings-tp-0,37.4,37.4,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,203.4,156.1,75.49,12.61,10.0,725.0,168.0,0
1,5,1,sawtooth-shell-default,32.2,12.2,55.87,19.97,1.2,8.6,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.9,21.2,27.06,3.70,8.5,4.2,0,0
1,5,1,sawtooth-rest-api-0,58.2,39.0,47.08,14.45,728.2,1.2,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,21.0,21.0,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-validator-0,171.4,124.2,67.62,13.85,10.0,725.2,0,0
1,5,0,sawtooth-shell-default,28.0,11.9,55.66,19.88,1.2,8.4,0,0
1,5,0,sawtooth-rest-api-0,68.5,40.7,47.77,14.10,718.9,1.2,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.5,20.8,28.84,3.66,8.4,4.2,0,0
1,5,0,sawtooth-validator-0,185.7,126.8,74.34,13.10,10.0,716.0,0,0
1,5,1,sawtooth-shell-default,37.6,12.2,55.78,19.88,1.2,8.4,0,0
1,5,1,sawtooth-rest-api-0,67.1,40.1,45.80,14.21,718.8,1.2,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.5,20.9,36.09,3.83,8.4,4.2,0,0
1,5,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-validator-0,178.1,126.5,76.33,13.41,10.0,716.0,0,0
1,5,0,sawtooth-shell-default,39.3,11.7,59.62,19.76,1.1,8.2,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.7,46.7,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-rest-api-0,65.8,39.9,48.34,13.92,705.2,1.1,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.5,20.9,39.45,3.23,8.4,4.2,0,0
1,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,189.4,128.7,98.18,11.84,9.9,702.4,0,0
1,5,1,sawtooth-shell-default,42.4,11.7,60.77,19.79,1.1,8.2,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.7,21.0,38.65,3.64,8.4,4.1,0,0
1,5,1,sawtooth-settings-tp-0,20.5,20.5,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-rest-api-0,73.5,40.1,47.82,13.88,706.1,1.2,0,0
1,5,1,sawtooth-validator-0,184.3,130.4,77.23,12.52,9.9,703.4,0,0
1,5,0,sawtooth-shell-default,37.5,11.7,55.79,19.68,1.1,8.1,0,0
1,5,0,sawtooth-rest-api-0,66.4,39.7,48.50,13.75,688.4,1.1,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.4,46.4,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,22.0,21.3,44.51,3.80,8.3,4.1,0,0
1,5,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,193.5,134.0,82.21,12.81,9.8,685.7,0,0
1,5,1,sawtooth-shell-default,27.9,11.5,60.84,19.67,1.1,8.1,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.4,20.8,45.75,3.86,8.4,4.2,0,0
1,5,1,sawtooth-rest-api-0,65.0,39.6,49.85,13.60,688.8,1.1,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.8,46.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-validator-0,195.8,139.8,94.94,12.55,9.8,686.2,0,0
1,5,0,sawtooth-shell-default,37.1,11.6,60.50,19.70,1.1,7.9,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.6,21.0,45.37,3.96,8.3,4.1,0,0
1,5,0,sawtooth-rest-api-0,68.4,39.5,47.67,13.51,670.9,1.1,0,0
1,5,0,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,205.4,140.5,84.41,13.04,9.8,668.4,0,0
1,5,1,sawtooth-shell-default,35.1,11.6,57.43,19.73,1.1,7.9,0,0
1,5,1,sawtooth-rest-api-0,69.8,39.1,47.68,13.32,670.1,1.1,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.6,20.9,44.25,3.51,8.3,4.1,0,0
1,5,1,sawtooth-validator-0,203.7,136.2,90.00,12.24,9.7,667.5,0,0
1,5,0,sawtooth-shell-default,36.2,11.6,58.15,19.78,1.1,7.8,0,0
1,5,0,sawtooth-rest-api-0,66.3,39.2,47.83,13.18,668.1,1.1,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,21.7,21.0,46.25,3.08,8.3,4.1,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,3.6,0,0,0
1,5,0,sawtooth-validator-0,198.2,137.4,83.04,11.29,9.7,665.6,0,0
1,5,1,sawtooth-shell-default,26.9,11.6,57.74,19.69,1.1,7.7,0,0
1,5,1,sawtooth-intkey-tp-python...ult-0,21.7,21.0,41.84,3.74,8.2,4.1,0,0
1,5,1,sawtooth-rest-api-0,67.1,39.0,48.01,12.99,657.2,1.1,0,0
1,5,1,sawtooth-settings-tp-0,20.8,20.8,0.00,0.00,3.6,0,0,0
1,5,1,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,3.6,0,0,0
