0.14285714285714285
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
12   b310bc36b20b3a635dfd45c9ea2d3878307bf082d3c9030041f1550922b6104864bae44c43ef6917a10ed914cbf9149f67f6602cb9d2a68eb6b6c37448cad3b5  140   2800  0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
11   246eb537e1b6a5e16498f4a8972da9897aeae168277d81e02085f4961b63cb871d3a8262da023616012de3f9d9a1e2aca7c876fe073063886bbee8dc77ccd4ea  92    1840  0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
10   677636ea6d6b013fe1d630b8ef174f98b47e59a2376e1c301354eb492fb065a215534a741befb0e33315b746ae20918e14ccd7fc6a9751ea666abfdb6dd9fc77  69    1380  0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
9    4ee4be483fea2ebd7ab565e53e7c8db516a73c19b1045417074442e8db7fb7941bafcc25f77d224e058833290788e82e2dd85f130d6971eb2a85a765399a480d  15    300   036650d03b2b39da51f992e7ac22b034b12fbcdf4cfb439e76c19fc04701ef731b
8    ca027878b3c744bcba46002cdaa42e72f6d77021d35a90424c19ace6ac5485c67eee53b6fe061ee0ae97b0aac6eda00d63c3cddb84a5cee27ec594945b3f6768  39    780   0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
7    f9386589e8d57a3e0381a022395823b325f99d44ad94ce3b64211811ab4e709c324f08574b2136d87b76beae5ac21ce430cc52c28441760295aa25325319f88f  5     100   036650d03b2b39da51f992e7ac22b034b12fbcdf4cfb439e76c19fc04701ef731b
6    4800fbd60b841c311ce048afe44f128d0099bcd824ef753a4d6e232b705beb0e479196aa8405a7748cd39169c53f00a08ebb66b17295a52fe431cbec5f996b3a  11    220   0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
5    a1c3a4408c37bae38cd733edb6cf3a4bf9b42f6ca3ff77a0b3a42057bcc3ece52b92ac3906bf91b4648a4b706624148977890172ae354638caf3e84184330b8a  8     160   036650d03b2b39da51f992e7ac22b034b12fbcdf4cfb439e76c19fc04701ef731b
4    78124bd74be983cb351bbb7091d7eea6d00e9f33c70b94b6686aa11b38b1235838b41a709479d6bc698c254aa4361b255621e1c94b90a5e9af2bbda0516cf6e6  11    220   0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
3    5d72ca6d51bf4dc0cb8e21ea5b292cd1cacd9d0a062160a76f9fffc0f6f58864610d2a4e34c9260c199bfd7621c724c420a242a6e3563c3c08bce8918505e89e  2     40    036650d03b2b39da51f992e7ac22b034b12fbcdf4cfb439e76c19fc04701ef731b
2    58987207b5acfc1dc94851a90fd32dd04def34fcc57951f84c3fe243b4835f0f0f0d1a3e273f036e6d725a8812899062fbe38116368489e2543118d4c57ae0e3  4     80    0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
1    aed2a3006d5dff2e6576dac08034396a965190b3e5d6352594c7e862a22d44e12865aee9785123fa6dad95ba32f3f1ee612577cdc0ce4fa6c1fafa2c73956175  14    261   0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
0    ba874ac1156e13c5101084ab501115ffe9c9818e2e30e6467b1af77dae7735850716244201376c0288419b1679998bfe7ee1850fda92a97de1725a903ff5624d  3     6     0297aced5533162792a2854e98335b94da02d51c2b979239302d494e521cd3acd7
