round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,53.9MB,16.6MB,60.99%,12.24%,1.5GB,10.8MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,15.7KB,3.7KB,0B,0B
round0,Docker,sawtooth-rest-api-0,130.6MB,58.4MB,99.43%,19.55%,958.7MB,1.6GB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,25.6MB,23.4MB,49.92%,10.87%,37.4MB,18.9MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,10.7KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,10.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,28.2MB,27.6MB,0.78%,0.25%,13.0MB,13.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.6MB,46.6MB,0.00%,0.00%,15.7KB,3.7KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,25.7MB,23.4MB,52.28%,11.21%,39.1MB,19.7MB,0B,0B
round0,Docker,sawtooth-validator-0,750.7MB,486.4MB,110.15%,91.46%,48.7MB,983.2MB,0B,0B
round0,Docker,sawtooth-validator-1,682.7MB,465.6MB,108.73%,87.38%,42.8MB,52.5MB,0B,0B
