Network Size,Run Index,Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput,Stale Block Rate
1,0,1,5TPS,5000,0,5.0 tps,0.32 s,0.01 s,0.03 s,5.0 tps,0.0
1,1,1,5TPS,5000,0,5.0 tps,0.43 s,0.01 s,0.05 s,5.0 tps,0.0
1,0,1,10TPS,9700,320,10.0 tps,0.87 s,0.01 s,0.08 s,9.7 tps,0.0
1,1,1,10TPS,8040,1960,10.0 tps,0.47 s,0.01 s,0.05 s,9.6 tps,0.0
1,0,1,15TPS,13940,1060,15.0 tps,0.97 s,0.01 s,0.07 s,14.0 tps,0.0
1,1,1,15TPS,14640,360,15.0 tps,1.37 s,0.01 s,0.08 s,14.7 tps,0.0
1,0,1,20TPS,13760,6240,20.0 tps,1.29 s,0.01 s,0.11 s,13.8 tps,0.0
1,1,1,20TPS,17240,2760,20.0 tps,1.71 s,0.01 s,0.13 s,17.8 tps,0.0
1,0,1,25TPS,17700,7300,25.0 tps,1.27 s,0.01 s,0.08 s,17.7 tps,0.0
1,1,1,25TPS,16340,8660,25.0 tps,1.35 s,0.01 s,0.08 s,16.4 tps,0.0
1,0,1,30TPS,19220,10780,30.0 tps,1.68 s,0.01 s,0.10 s,19.2 tps,0.0
1,1,1,30TPS,17680,12320,30.0 tps,1.58 s,0.01 s,0.09 s,18.6 tps,0.0
1,0,1,35TPS,16180,18820,35.0 tps,1.40 s,0.01 s,0.08 s,19.2 tps,0.0
1,1,1,35TPS,16040,18960,35.0 tps,1.51 s,0.01 s,0.08 s,17.3 tps,0.0
1,0,1,40TPS,14480,25520,40.0 tps,1.40 s,0.01 s,0.09 s,18.2 tps,0.0
1,1,1,40TPS,18100,21920,40.0 tps,1.67 s,0.01 s,0.11 s,18.7 tps,0.0
2,0,1,5TPS,5000,0,5.0 tps,0.04 s,0.01 s,0.01 s,5.0 tps,0.091
2,1,1,5TPS,4860,160,5.0 tps,0.10 s,0.01 s,0.02 s,4.9 tps,0.053
2,0,1,10TPS,9280,720,10.0 tps,0.64 s,0.01 s,0.04 s,9.3 tps,0.053
2,1,1,10TPS,6500,3500,10.0 tps,0.28 s,0.01 s,0.02 s,6.5 tps,0.111
2,0,1,15TPS,9520,5480,15.0 tps,0.78 s,0.01 s,0.03 s,9.5 tps,0.15
2,1,1,15TPS,12500,2500,15.0 tps,0.99 s,0.01 s,0.05 s,12.5 tps,0.348
2,0,1,20TPS,9920,10080,20.0 tps,0.43 s,0.01 s,0.04 s,9.9 tps,0.077
2,1,1,20TPS,11540,8460,20.0 tps,0.73 s,0.01 s,0.07 s,12.7 tps,0.143
2,0,1,25TPS,14720,10280,25.0 tps,1.37 s,0.01 s,0.07 s,14.7 tps,0.333
2,1,1,25TPS,13260,11740,25.0 tps,1.06 s,0.01 s,0.06 s,13.3 tps,0.474
2,0,1,30TPS,13780,16220,30.0 tps,1.28 s,0.01 s,0.05 s,16.3 tps,0.304
2,1,1,30TPS,13480,16520,30.0 tps,1.40 s,0.01 s,0.07 s,13.5 tps,0.222
2,0,1,35TPS,14660,20340,35.0 tps,0.91 s,0.01 s,0.05 s,16.2 tps,0.5
2,1,1,35TPS,13440,21560,35.0 tps,0.59 s,0.01 s,0.05 s,17.7 tps,0.389
2,0,1,40TPS,14460,25540,40.0 tps,1.18 s,0.01 s,0.06 s,14.9 tps,0.263
2,1,1,40TPS,12320,27680,40.0 tps,0.90 s,0.01 s,0.06 s,14.0 tps,0.333
