round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,2.1MB,2.1MB,0.00%,0.00%,12.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,26.7MB,26.4MB,0.80%,0.05%,2.2MB,2.3MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,22.5MB,21.4MB,40.52%,3.57%,13.9MB,6.9MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.69%,0.00%,17.7KB,3.7KB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,12.6KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,26.7MB,26.5MB,0.75%,0.05%,2.2MB,2.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,12.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.81%,0.00%,17.7KB,3.7KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,22.6MB,21.5MB,43.64%,3.55%,14.2MB,7.0MB,0B,0B
round0,Docker,sawtooth-validator-1,301.5MB,196.0MB,97.32%,12.37%,13.5MB,19.0MB,0B,0B
round0,Docker,sawtooth-validator-0,318.5MB,203.7MB,104.54%,12.57%,14.2MB,18.7MB,0B,0B
round1,Docker,sawtooth-shell-default,2.1MB,2.1MB,0.00%,0.00%,5.1KB,0B,0B,0B
round1,Docker,sawtooth-rest-api-1,27.3MB,26.5MB,0.78%,0.09%,3.0MB,3.0MB,0B,0B
round1,Docker,sawtooth-intkey-tp-python...ult-1,24.6MB,23.7MB,54.76%,6.68%,15.8MB,7.8MB,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,5.0KB,0B,0B,0B
round1,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,5.0KB,0B,0B,0B
round1,Docker,sawtooth-rest-api-0,27.3MB,26.7MB,0.76%,0.09%,2.9MB,3.0MB,0B,0B
round1,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,5.0KB,0B,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,5.1KB,0B,0B,0B
round1,Docker,sawtooth-intkey-tp-python...ult-0,24.7MB,23.7MB,52.81%,6.30%,15.6MB,7.7MB,0B,0B
round1,Docker,sawtooth-validator-1,530.9MB,443.6MB,100.87%,42.83%,15.4MB,21.2MB,0B,0B
round1,Docker,sawtooth-validator-0,528.6MB,465.2MB,108.94%,39.53%,16.0MB,20.3MB,0B,0B
round2,Docker,sawtooth-shell-default,2.1MB,2.1MB,0.00%,0.00%,7.9KB,0B,0B,0B
round2,Docker,sawtooth-rest-api-1,28.2MB,27.8MB,1.37%,0.11%,4.4MB,4.5MB,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-1,25.9MB,24.9MB,45.38%,3.70%,9.4MB,4.7MB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,8.0KB,0B,0B,0B
round2,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,8.0KB,0B,0B,0B
round2,Docker,sawtooth-rest-api-0,28.3MB,28.0MB,0.63%,0.11%,4.4MB,4.5MB,0B,0B
round2,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,8.0KB,0B,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,7.9KB,0B,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-0,25.9MB,24.9MB,48.46%,3.70%,9.5MB,4.8MB,0B,0B
round2,Docker,sawtooth-validator-1,722.7MB,553.0MB,104.29%,48.38%,12.2MB,12.5MB,0B,0B
