round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,31.2MB,14.2MB,78.53%,19.80%,474.3MB,3.4MB,0B,0B
round0,Docker,sawtooth-rest-api-2,27.1MB,26.5MB,0.64%,0.07%,1.4MB,1.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,6.4KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,23.1MB,21.8MB,50.81%,14.26%,18.9MB,9.6MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,6.4KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,6.5KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,23.2MB,21.8MB,48.96%,14.50%,19.0MB,9.6MB,0B,0B
round0,Docker,sawtooth-rest-api-1,26.7MB,26.4MB,0.74%,0.07%,1.4MB,1.4MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,6.4KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,6.5KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,66.5MB,40.8MB,74.03%,17.38%,285.4MB,477.0MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,6.4KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,22.9MB,21.8MB,49.70%,14.13%,18.3MB,9.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,47.0MB,47.0MB,0.00%,0.00%,6.5KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,6.4KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-3,27.3MB,26.6MB,0.48%,0.07%,1.4MB,1.4MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,22.9MB,21.7MB,53.20%,14.75%,19.0MB,9.6MB,0B,0B
round0,Docker,sawtooth-validator-2,366.5MB,249.7MB,106.41%,77.35%,20.1MB,33.7MB,0B,0B
round0,Docker,sawtooth-validator-1,357.9MB,226.1MB,109.01%,74.90%,18.7MB,23.2MB,0B,0B
round0,Docker,sawtooth-validator-0,416.4MB,270.5MB,108.92%,77.52%,21.1MB,313.6MB,0B,0B
round0,Docker,sawtooth-validator-3,395.3MB,253.2MB,112.46%,76.07%,20.7MB,21.2MB,0B,0B
round1,Docker,sawtooth-shell-default,48.3MB,19.2MB,69.71%,14.28%,716.1MB,4.9MB,0B,0B
round1,Docker,sawtooth-rest-api-2,27.7MB,27.3MB,0.44%,0.07%,1.4MB,1.4MB,0B,0B
round1,Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,3.9KB,0B,0B,0B
round1,Docker,sawtooth-intkey-tp-python...ult-2,24.8MB,23.8MB,50.95%,10.06%,13.3MB,6.8MB,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-2,46.8MB,46.8MB,0.00%,0.00%,3.8KB,0B,0B,0B
round1,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,4.1KB,0B,0B,0B
round1,Docker,sawtooth-intkey-tp-python...ult-1,24.8MB,24.0MB,50.31%,9.87%,12.4MB,6.1MB,0B,0B
round1,Docker,sawtooth-rest-api-1,27.1MB,26.8MB,0.53%,0.07%,1.4MB,1.4MB,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,4.1KB,0B,0B,0B
round1,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,4.0KB,0B,0B,0B
round1,Docker,sawtooth-rest-api-0,112.2MB,63.0MB,101.35%,25.39%,429.6MB,719.3MB,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,4.1KB,0B,0B,0B
