0.4
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
21   0e86d9ae01a7ce7e151e5e7ad2fa9d2d8a1de374892dd693c1fa1cead105cace517621e8879552bc7aa6beab16837e12cb4f9060e21f9c56876cca86d544e8f9  86    1720  02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
20   9dd55a31c3cd8cf51b46b4d7c9fa33b3d5e0b94f125fc49f1ed65943ab0e9a475892241c7aff7ec76453862e17c71faa888bf332fb2399ba2ac5ba3fe00decb3  44    880   02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
19   911fa6f04312907c844c23b613b10f637f268c97f00d17be95348563a8e26c2e646e65410ddfbe0f7f995d03022c8ca87c550bafd00f5acce8da7a723b77907b  105   2100  03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
18   d5115474c3fb87dd648bff4e84bcc2bda511d2080afdf776dd3e34a1bd3ae8a61334d64353a621ccce96a7213ee4abe0a2c2c36c34b238f7ea1fd03c7ad46442  20    400   033a666c1a5cc644a383666b3a3d317dea90b1c1ceec3a232ea8e4e20ba19adc7d
17   eded96734db1c64a3e3f814fedb3bfa320d51a4dd9f1118ae1ad839671f0a69743c7b02ede9de10d99bbd035891989ab72675d5d131d848ac7c3761cebe5567a  52    1040  02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
16   23cfab20408925b14db3b2d7b30a1d8034cefa906263196e2b5610febb2ebc54747f6a2db4c0599c5b15f366dde5b5e4bb3bb41c4c4f8ac81fa3352b56984d86  48    960   03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
15   f838499e4ee7791c66a8cd1bde4a83cdc50a6b88b773092e1032fa970e3117ce4a25cf9404064707f01f480abe7b9b2dc82f3fee15cc6d7a3547398fbe274e08  24    480   02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
14   1d7aafae9bed915eef9cdb07a93253d149de89393eb2a0658456f8de688e39a04f6fc889c5a1c843e243da9eb7db5680af6bcabfa868f8e2170fed1ea9464e9a  74    1480  02ca325bdf2c679681a448d91fca10ef954ddcf44a656e420ada3fd28f160c12ea
13   a4d365fe386cf5c4b699d6851d86f1d0a18ae54d74cab9887b233642fe9ae8dc1a164e6b8ee0154daf27450d909bcbdbc69da2c35c7cf0368862f3621a0bba4f  44    880   033a666c1a5cc644a383666b3a3d317dea90b1c1ceec3a232ea8e4e20ba19adc7d
12   80324e2f2abdd055198fd9a4d839964c4a92b76c80ff4e3dea2b55c24f6fe7fd3ebda171141d50a0f61db66ed54e856f498eea8083b12f1c035f0a4189d0709d  4     80    033a666c1a5cc644a383666b3a3d317dea90b1c1ceec3a232ea8e4e20ba19adc7d
11   1d477bb8c5e8291bf70f77bc45aa5f7d077529b1a587705f53ae26659d43906e310a183472609e6c66caf578bdb59b6311f5e9777e78523dbfe83cf834b4131a  6     120   02ca325bdf2c679681a448d91fca10ef954ddcf44a656e420ada3fd28f160c12ea
10   349a2d2d3706d8aaf771c116ac73934b24db767862ad95d1f3bdd3f0724d8a8c439877b4fbfcf474b42165e7eaf0e9860600dfc4f3658a5ef6e75ae7e18bc2e4  11    220   03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
9    cb2b60f63ddcb2604dc1a3bff9bc1d771a749866e51614ce6945a1cf2f8e6a0a45753af77cacc7d86c7af0f376ef8a2ebfac195a23f633f8c244cdb4659039bb  29    580   02ca325bdf2c679681a448d91fca10ef954ddcf44a656e420ada3fd28f160c12ea
8    b8594b56441120ef00bd91be4b2ccd61ca42223c3cfdd17e26c42f459b4ef3ad4fa0a7732f3a174712e704e44e2dd8ce200a613b48ac9418172deeb7f0d637b1  8     160   03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
7    ecd90197f828c374189e2033139125b723e0a0850797b1dbe2ef771cdf2720fa145517e0caeccf293844bf20129b3ccd35890f88cee866c24aee7ad0f5cbd045  26    520   033a666c1a5cc644a383666b3a3d317dea90b1c1ceec3a232ea8e4e20ba19adc7d
6    17aa92fe3095d41d6e750c422b0efc01bb8e84b3ff737599b46a2bfbdf88db6435d138923251a941c502e9583a8edd2a77620e1c111c9e4f258fa4bd28dd431c  15    300   02ca325bdf2c679681a448d91fca10ef954ddcf44a656e420ada3fd28f160c12ea
5    9aafd36094619fa3d7a5592a01c412b3a13f74bdbad35d0aaa36633017796690765451fae0fb4ec7b71c5902a100a2348a9de5a694d893851e734e559d29566d  6     120   03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
4    24ff38c53218bec4394f8c3c8f0e4f7f6cc65da57e38ec0dc5da82f59070e9ac69e69a42e1616516fa7b178d1619cf288cc55024f98e0aa45037504176f60cf7  9     180   03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
3    8b340679b116918ec9378d2d1aafaa88a94109d41173cb9372522166a75857306c7b7657d8ed5b755144f6ba4e79bbbc2a377f7939695c72b9e0c184aeb4406a  1     20    03935c49b9b07246b91caa0c41bf44e5f9f61affdcf0b42605e81d94083f1234e1
2    83433e170e8d47841ba3aafd9b06e9f64599658501bab836b9798f3d25915aac6a10728b2eef91d901b17208b2fe9582b8c95363c165d2923e1310025d7204ba  1     20    02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
1    49c33552e7db811b81fa6c4d2c575365af77311da50da15809c95a06a532f59d08790eaf70bf56b582079b73e9ee86f431d6a682beb3e2857735774a2c458040  3     3     02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
0    17c56ea73ca05b7298454ac1f84ae879c2959c6351e4a8f42e6647652939147b32d31e683d8100d57c6bc77f10fefbbdc16a93c461ec5d045154c2c17a6533c8  3     6     02af1afd6ebed83537c24cf694ff4794834d599bcee3b3a19027e69d85a8686970
