0.11864406779661017
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
52   1996155a997b45d79c44198f5e6966b32ef437376d7aca6cb45ecf42dd9464f4696df66e504d3a4e434725fb1f73dce14220e5d9691b9a77d7e271635284bf12  27    540   03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
51   d5c77b318f5d619bad726c0bc96b3c76ae9c6fa0ec656461af76c4f3bf5455e507d1973073281705a1345a48d51990fb230d7fbbf8a7b2328520b208db76527b  4     80    03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
50   01fe06e5d9c86042c47cd1932d32cd2678dcb4fac35c1420f65af4c10117cae27f6a641bab26628bba4929df822becf046ed087dbfb1eb58ada867ca23cb02fe  5     100   03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
49   abc9539cf8fb350c7a922ed6c59fa4dda1585789a2dc3d0b2582c9f60d7d86e5349018846e0b2953b3be3b49da7331f8e2a30b18365a4931957d11dd90b78fd5  16    320   03abb904e2aaabecf47d57af61a7c4fcb75e54bbcaa54958ce5ba7970a507788a1
48   b88abdd636c4b40d0c73d9638464cc90f82f493a9b9c0fd7f87a44bda2a73adf5fbe8ee50aa36fecc2388cac71102946d62a3e47fa33635c60106c1393a3d36c  45    900   03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
47   06e15dfd34dafa87bf8dcd35712c16f397c2cb96cb9393a7229e9a194af425457e714547bc2fc43982db14b2b5bfd3f6067656cea0e5bf35ff03e7bb705e3b40  27    540   033345218c26c6694d3ef18864c846ad737fbb2ee94409a0e0c4ae57bca0fe00c8
46   927b5148f48d87e4b89024d10a62bb1de6aa1ef7f3d6dac454e5f5d7443d738f2a5e864c337976aff4979140beddafbb5ebae6cbf89cde762e80754d60323586  6     120   033345218c26c6694d3ef18864c846ad737fbb2ee94409a0e0c4ae57bca0fe00c8
45   962d757e74efeb21044f28e36d63861aa204721cdbb53c41fdcf68cd934d36eb3f2ebfbcc27207b9f84a49fe0d02517c4b70faa641ce9ce7bf44883ae99a3019  4     80    03abb904e2aaabecf47d57af61a7c4fcb75e54bbcaa54958ce5ba7970a507788a1
44   065b0af5fa58bed8686ad87252644cb8b77d35897f99bde375776bc3a70d24fc0fe5dbe3ab052af6289548e6479895b9f94142ba39257bdfc75dc35013413071  26    520   034040ce653f807f2ad55446baa80e31c05d4e65256f90333e3d8b6b5c4f26a4c7
43   6c852532781f63794659b32e22745a9dc661c4588e3a8f0935d30165a528aa4b06424a20cf79ce366bc0d84e80ec3533c6ab08f1c15e63d1008e676e746e7c6c  16    320   034040ce653f807f2ad55446baa80e31c05d4e65256f90333e3d8b6b5c4f26a4c7
42   a248af56053780439ab97f0ba5ee6abb43e95ebfd8934486cc21f2e9146909db2e15040abe4f42f91ba42cc4c0b7c6af58addba5752c80a6e1ea3ea9e1021879  3     60    033345218c26c6694d3ef18864c846ad737fbb2ee94409a0e0c4ae57bca0fe00c8
41   fdc2dc28c3d66bec46c27ccbfd84d5730dc483455d658bb5d57488ebd4fee4be593ece50bb22701054b725902f0b6e8ab2ab5830257807448c68dbaf5115394f  3     60    03abb904e2aaabecf47d57af61a7c4fcb75e54bbcaa54958ce5ba7970a507788a1
40   bc646ca8e961163599a6e949d316e4a19ea21f689a9460c2de474db53dd7f9a140945f95d8cfb84b06520a0ea485b36ca9e743f68403a304ead4b83f6699562b  15    300   03abb904e2aaabecf47d57af61a7c4fcb75e54bbcaa54958ce5ba7970a507788a1
39   557ac16179b57e757372b8852c0c0dc6d8e9bf1bd70d015f4a13b14fecd2e0ff016af8b75fac1fb75dba0394403033e6f11b5782414b250f1dd5e58fd41940cc  14    280   03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
38   5b7e9d1bacddf2c0aefac0e86e004922d27d70867dfda4f860d7f996cc348b1b4bb61d76dda3a18030ee0be04199ebf90b6bcfbb12c1911ec0d5348d34e6f6d2  1     20    03abb904e2aaabecf47d57af61a7c4fcb75e54bbcaa54958ce5ba7970a507788a1
37   ae13533d819edf822942c7ffdda2599467bfa3d2e7e2f3dc0cdbe6f031c1f29e3e2466b2b8b9b71ac909316385c78a8210ed7237de9db0153d3fedb30603f008  2     40    03d1b02d40d04d53bf2e0b6624e5a69aa17d8bf0c926a19f63d82513c93325e9cf
