round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,39.0MB,14.7MB,77.30%,24.77%,931.6MB,6.6MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,25.3MB,23.0MB,51.55%,14.52%,36.5MB,18.3MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.6MB,20.6MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-3,28.1MB,27.7MB,0.92%,0.24%,8.9MB,9.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,18.3KB,11.3KB,0B,0B
round0,Docker,sawtooth-rest-api-1,28.3MB,27.6MB,2.06%,0.24%,8.9MB,9.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.7MB,46.7MB,0.00%,0.00%,18.5KB,11.3KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,25.3MB,22.9MB,52.52%,14.24%,36.0MB,18.1MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.8MB,20.8MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.7MB,20.7MB,0.00%,0.00%,3.1KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,25.3MB,22.8MB,52.26%,15.26%,39.1MB,19.7MB,0B,0B
round0,Docker,sawtooth-rest-api-2,28.0MB,27.6MB,0.64%,0.24%,8.9MB,9.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.6MB,46.6MB,0.00%,0.00%,18.3KB,11.3KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,24.8MB,22.6MB,52.59%,12.95%,32.1MB,16.1MB,0B,0B
round0,Docker,sawtooth-rest-api-0,67.2MB,40.7MB,57.26%,16.69%,566.8MB,943.3MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.5MB,46.5MB,0.00%,0.00%,18.3KB,11.3KB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,3.0KB,0B,0B,0B
round0,Docker,sawtooth-validator-3,519.7MB,350.2MB,108.75%,89.07%,46.0MB,42.6MB,0B,0B
round0,Docker,sawtooth-validator-1,517.7MB,351.7MB,115.58%,89.37%,45.8MB,42.1MB,0B,0B
round0,Docker,sawtooth-validator-2,502.9MB,343.2MB,110.48%,88.95%,45.9MB,46.7MB,0B,0B
round0,Docker,sawtooth-validator-0,549.8MB,365.0MB,123.58%,91.53%,46.7MB,639.2MB,0B,0B
