0.09523809523809523
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
57   22d26d894d07b7a2ef56f8e9e744b90beef2f73a89d8854bc9a7cfda86885d192185bb085d189a990a403bc9ea2da66cb994cfda9db4f280ca36fff760678323  1     10    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
56   cd1ba1f4b276f6eaefd789691088efe0521f7f1b8cae2161a580227874025e9774d1485dc7091709a7b167c859462c9df2770224c9521109213536d5b228b971  2     20    038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
55   fdaa72f013c2131bf23af1f4e405c6d41779b06ddc26f192ea9579abf9519c8f1ede0db6b92252d052ec165b05996ab59ec12d5866ee848b44f753c98c966afa  10    100   038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
54   e787a8ad8eb274d31ccf352536680509d3e1728f8e7c96b9378e257cc1b040464f47f059e22f06a1466e742953063460729a1d4c39e4600fae80aab86cb61cd1  5     50    038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
53   15a4b64e10b607e9ff65c4107a738935ea506cc9fe614004e44364073c4132ce695312164826ce0d360b9bdc918fc1ce645c81130dacdbe9299a924b2dd9032c  3     30    038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
52   4c87bd10d28ecd5815440bd6116badb453b67b2e30d9ad5bbd4baf085f0ee3a23ddc1752f4920e9c2f4c7db9d499691fa8bcddb54c13ec5498206b65e55f2f07  42    420   038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
51   f964d308450f0be21109781a6c22110fd32640a6e7bda17ebc8e3d47b42a9dcc34abb111f89f793e1f3d320b8a8902e0242118a1830bcb311a86930f826dae2d  4     40    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
50   ef109e5665105c982618e79a614bfe46a0313efd0838149caddb4ad9c73a02f26fb9849d1a95533760d0db3e4e5c1baa61548a09a0d83de7505cee98302c0089  1     10    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
49   0d0eef34ab02f7ec13d3045c4907d3a9556664cb03daff3d0874b381cbc3b6cc6cfcc29e6bd5b5b46c3bb4c258b968e3c11cf5313b136c39b52047d626dbf9c2  8     80    038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
48   37f1f72f900445bbec0ecdcb67223c125b9104735f71a723e76f433acb4b8b5a5de37eb725cfdee296e9fa5f7c7676304849b9c1daab31a48609e32f13e49fe5  5     50    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
47   e3a18fa325a3083e89404379f8a023e58a6acee312f3ecc22e1ed406169ae40d4f4315bf0c1063fd6a948e4af3bc8bc8e2adf0f1720f7d08ce3ae9b352b6ed32  2     20    038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
46   20f42d300448f8b84c0a0deb112c6906c2b037857a05880e1b698b8f6156f2d04e7b70be4304283b828d365f798ee5d38eaf7ccc7bc23fa22946bce8fa2cbd34  2     20    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
45   76ffea1ec16e75db585e7726966d6410c6705a6c48f0e71d1fc7230a1f19a509782ac67aa1ca49856811540113ae52c04fafa69629b6fc86759ad957fc38eb35  4     40    02d63d7aec9391477d7e3a467c9be0ddf579e0407b77827214dac686d0808625dc
44   cf23508efb057bcac5bbae84c8f151c992eba606a1b9d3917237de9e4d33ce7252950bc6b34bf3e99750a13824f9a4d9f4354ac0bbb99cad8eaec5f8dc0bc9e6  18    180   038d94012fc11def2eb14984e6d736397cc6c1dcea0ec7630fe9659641d02a94a5
