TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
Docker,sawtooth-validator-default-2,47.7MB,47.7MB,12.02%,12.02%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-1,20.3MB,20.3MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default-3,26.5MB,26.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default-2,20.8MB,20.8MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default-1,20.7MB,20.7MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-engine-3,26.6MB,26.6MB,50.09%,50.09%,0B,0B,0B,0B
Docker,sawtooth-xo-tp-python-def...ult-3,20.9MB,20.9MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-engine-0,56.5MB,56.5MB,5.19%,5.19%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default-4,20.8MB,20.8MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-3,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-validator-default-4,48.0MB,48.0MB,13.72%,13.72%,0B,0B,0B,0B
Docker,sawtooth-xo-tp-python-def...ult-2,20.7MB,20.7MB,0.00%,0.00%,0B,0B,0B,0B
Docker,do-nothing-tp-0,20.1MB,20.1MB,2.12%,2.12%,0B,0B,0B,0B
Docker,sawtooth-validator-default-0,47.7MB,47.7MB,12.33%,12.33%,0B,0B,0B,0B
Docker,do-nothing-tp-4,20.2MB,20.2MB,1.16%,1.16%,0B,0B,0B,0B
Docker,sawtooth-validator-default-1,47.6MB,47.6MB,13.87%,13.87%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-3,20.4MB,20.4MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-xo-tp-python-def...ult-4,20.7MB,20.7MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-1,46.9MB,46.9MB,0.00%,0.00%,0B,0B,0B,0B
Docker,do-nothing-tp-2,20.2MB,20.2MB,2.04%,2.04%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-0,47.1MB,47.1MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default-2,26.5MB,26.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default-0,21.0MB,21.0MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default-0,26.4MB,26.4MB,0.68%,0.68%,0B,0B,0B,0B
Docker,do-nothing-tp-3,20.1MB,20.1MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-engine-2,55.9MB,55.9MB,4.78%,4.78%,0B,0B,0B,0B
Docker,sawtooth-validator-default-3,35.9MB,35.9MB,62.49%,62.49%,0B,0B,0B,0B
Docker,do-nothing-tp-1,19.9MB,19.9MB,1.11%,1.11%,0B,0B,0B,0B
Docker,sawtooth-shell-default,2.6MB,2.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-engine-1,55.9MB,55.9MB,7.38%,7.38%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-4,20.5MB,20.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-2,47.0MB,47.0MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-xo-tp-python-def...ult-1,20.9MB,20.9MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-0,20.5MB,20.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-2,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default-4,26.4MB,26.4MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-default-3,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-xo-tp-python-def...ult-0,20.9MB,20.9MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-4,46.8MB,46.8MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-default-1,26.3MB,26.3MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-engine-4,55.9MB,55.9MB,7.41%,7.41%,0B,0B,0B,0B
