0.8829787234042553
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
11   f9314fd407d52fc41fb649eeb17a74a6c1a87da8b9efcce1873d153258d5692d22f02cfbbb2f300ab7d1d47e6ef14fb220afbc5ae42eb92f68ccdd4dda3c6243  5     100   03f2ad557cf8461cb3130cf98e67a26a4d0b5f28cadbc4885bf6ecfdefb9c92a2e
10   c9e7d4b2d5245fb335b2df4b230a434b2853a817ca8aeca4d421b218be36e64e14d6530c36464e0f559e17be88e967c4da8a0bce60513b5fe4ed0000c0ade8dc  2     40    030f42b0e924f4cc79d2c84de73d6e3f359499156b5159070d20f6a4637ce1fcac
9    6ce2c92d3a7f520b41b5e083f9516a7762610f2c5241a371f0faabd7f46148d25e827948ae039f38bf5582816ef8852071bbe8573ecd1face76e27a83709fe66  1     20    02da5ecae9e734e34bf7ed60c688224e419c96423c89f787ad4dddddf91f25660a
8    dc29bc19c8b73a19a734e31e1d60b2a4d38afd05b7fbfd1da3a0c459b214c6c27ebd82474cdbd91432fdcb624fdc0c851356cdd4d19e1d158aec7bc96fd804c4  1     20    025fec8083738562729a7ccd6bb29dd771fef419d8b1adc96bd28a8b5a0750bea1
7    96c1dcdd6a3dac416bfb791bd184c2a2e481c27e357ad7fd631eeec57231ecda0342bda443d9e4d9b8dfdf545be011521ac07cf63b8a80668cbba38a0cb47b22  1     20    030f42b0e924f4cc79d2c84de73d6e3f359499156b5159070d20f6a4637ce1fcac
6    d7ac6f516b6f09a3d1024fbc134aa252d576aaec141207895db02bb86f0be09a147f16fea9cc3b3f469f4ac64ad8e9ca7b3227897cad5ee85d88b5e10a176398  1     20    035828ba3d3d95a559bd240513f00a0f42d62bef39abcc5e354a42eb2931179865
5    8bfd71ea5e6cf24d53210b8ed1387fc2abcb4aaa4ff47d613cbd7bb7830d6dcf1c28b1be5212e91381b01d74896eee2c4b38cf9677e4fadc964403a0188a30ca  1     20    035828ba3d3d95a559bd240513f00a0f42d62bef39abcc5e354a42eb2931179865
4    c5d97fe14b271f050e8fdf912fc4a72396cbf43f3b7e4b1f2f3e7d497a6b7c7857c4621c7a86237c2e100bbb3305d1fdf78ed05b0ad8a17eaf4f2810634917e6  1     20    025fec8083738562729a7ccd6bb29dd771fef419d8b1adc96bd28a8b5a0750bea1
3    2d6396b2c62fb800549f2f123060f4512457f09f25380b71ca8e8852076d824359bf5b7f85bcfd2417f1f49998c306fea2c875d520fcaef70f41d7605fdf5c04  1     20    03dca2d2fe3192c4fe90db60d24eaea0a63a0ecc80ecfe337fa7f494694c34ba16
2    89d61e3466091ef18ed25ab84b7b52ad790aecd83c538d5506911f428ae2614e619c1dada767456c21e0ca32cb837ae8501bd2e1a83e067f398a0d9841803caf  8     8     03dca2d2fe3192c4fe90db60d24eaea0a63a0ecc80ecfe337fa7f494694c34ba16
1    f6f15eb914419fca6c42bfd6c5747bf892fe6839c74b8164d4e69cd611d31a7f33d4832e9c320c0c9d8607401ec95a4703adc83f9855831a43ddef58a4a97366  1     1     03dca2d2fe3192c4fe90db60d24eaea0a63a0ecc80ecfe337fa7f494694c34ba16
0    24378e6ebc04d0563ec28902406414cda96279aff1c7939f239c3dccd9c232c4080c2b12e28fc8bebcce17d1d1d85d99b758bfdcccedb9289bc3417d7fa78a02  4     12    03dca2d2fe3192c4fe90db60d24eaea0a63a0ecc80ecfe337fa7f494694c34ba16
