round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,30.0MB,12.5MB,101.49%,34.53%,229.5MB,1.8MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,24.1MB,22.5MB,49.20%,26.82%,24.9MB,12.5MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,34.8KB,19.5KB,0B,0B
round0,Docker,sawtooth-rest-api-0,40.5MB,32.9MB,71.55%,12.89%,142.0MB,234.0MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.8MB,20.8MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,28.2MB,27.7MB,2.11%,0.24%,3.7MB,3.8MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,47.1MB,47.1MB,0.00%,0.00%,34.8KB,19.5KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,24.0MB,22.3MB,46.01%,27.93%,25.1MB,12.6MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,21.0MB,21.0MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-5,28.1MB,27.6MB,1.69%,0.24%,3.7MB,3.8MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-5,46.8MB,46.8MB,0.00%,0.00%,34.9KB,19.5KB,0B,0B
round0,Docker,sawtooth-settings-tp-5,20.8MB,20.8MB,0.00%,0.00%,9.0KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-5,24.0MB,22.2MB,50.24%,28.03%,25.5MB,12.9MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.9MB,46.9MB,1.58%,0.00%,34.9KB,19.5KB,0B,0B
round0,Docker,sawtooth-rest-api-3,27.6MB,27.4MB,1.81%,0.28%,3.7MB,3.8MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.9MB,20.9MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,23.9MB,22.2MB,46.31%,27.69%,25.8MB,13.1MB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,24.0MB,22.2MB,45.84%,26.58%,24.6MB,12.3MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,12.42%,0.03%,34.7KB,19.5KB,0B,0B
round0,Docker,sawtooth-rest-api-2,27.8MB,27.5MB,1.70%,0.26%,3.7MB,3.8MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.9MB,20.9MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-4,28.2MB,27.7MB,2.03%,0.23%,3.7MB,3.8MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-4,46.9MB,46.9MB,0.32%,0.00%,34.8KB,19.5KB,0B,0B
round0,Docker,sawtooth-settings-tp-4,20.9MB,20.9MB,0.00%,0.00%,8.9KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-4,24.1MB,22.4MB,46.04%,27.58%,25.4MB,12.8MB,0B,0B
round0,Docker,sawtooth-validator-2,273.9MB,209.3MB,101.00%,67.63%,33.0MB,26.3MB,0B,0B
round0,Docker,sawtooth-validator-1,279.8MB,206.4MB,100.12%,66.22%,32.2MB,28.0MB,0B,0B
round0,Docker,sawtooth-validator-0,309.1MB,232.5MB,101.45%,68.48%,32.5MB,220.6MB,0B,0B
round0,Docker,sawtooth-validator-3,285.3MB,217.1MB,99.13%,67.70%,31.1MB,49.0MB,0B,0B
round0,Docker,sawtooth-validator-5,281.5MB,211.7MB,99.68%,66.85%,32.0MB,28.8MB,0B,0B
round0,Docker,sawtooth-validator-4,270.1MB,209.0MB,101.10%,67.79%,31.5MB,29.1MB,0B,0B
