Elapsed	 Num Blocks	 Num Txns
2019-04-08 17:38:08.448198	 0.0	 0	 0
2019-04-08 17:38:13.452645	 5.0	 0	 0
2019-04-08 17:38:18.452405	 10.0	 0	 0
2019-04-08 17:38:23.452478	 15.0	 1	 140
2019-04-08 17:38:28.452509	 20.0	 1	 140
2019-04-08 17:38:33.452609	 25.0	 1	 140
2019-04-08 17:38:38.449560	 30.0	 2	 300
2019-04-08 17:38:43.452553	 35.0	 2	 300
2019-04-08 17:38:48.452460	 40.0	 2	 300
2019-04-08 17:38:53.452579	 45.0	 2	 300
2019-04-08 17:38:58.451852	 50.0	 2	 300
2019-04-08 17:39:03.452504	 55.0	 2	 300
2019-04-08 17:39:08.449660	 60.0	 2	 300
2019-04-08 17:39:13.452566	 65.0	 2	 300
2019-04-08 17:39:18.452461	 70.0	 2	 300
2019-04-08 17:39:23.452480	 75.0	 2	 300
2019-04-08 17:39:28.452426	 80.0	 2	 300
2019-04-08 17:39:33.452552	 85.0	 2	 300
2019-04-08 17:39:38.452391	 90.0	 2	 300
2019-04-08 17:39:43.452479	 95.0	 3	 880


NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
3    21e54ba5eb02c4dbf3b0be279da65896cd9a83ba13e2b92e2df3a73c3d7c431c12ccd7bb761920d8ed5965433ffe073889752127d495b1679d62d0b992636f1d  29    580   03819b1ff64596c7bc11ad88d784848f5920bcfc9a5b73fdba06cc31f684d375f0
2    7308c0f85851b65562789cfb69f780841f23ea71903aa836dcb84d902b52f00f65f86fe56e321f28b2612ce642a5ff6d7e8990b870cb51e000ee016e6c67838c  8     160   03819b1ff64596c7bc11ad88d784848f5920bcfc9a5b73fdba06cc31f684d375f0
1    4ad6a722b3b14530b2b9f9bece932cf1fc65e587e746ddbdfd8587898353eee9590389c68849fdc3353061a08a86aa9b9b10ab802c4988488706e3ad44ec9dab  7     140   03819b1ff64596c7bc11ad88d784848f5920bcfc9a5b73fdba06cc31f684d375f0
0    04abf91c3023368bbc2ed31b85b32c1b3942feb271a50172bd380ec2968c055b58e55e4526f09d9ca050d5e5e08cd693fcb77de67dd085ffda796ed7225d1666  3     6     03819b1ff64596c7bc11ad88d784848f5920bcfc9a5b73fdba06cc31f684d375f0
