0.0
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
12   116301e50584218011df883a282320a6a9fc0d6a6287ace4dad38e362162424544eeba2b66eb687b1f772bcabe53d823dd732dcde591e6d97945ad1b0c21a11e  70    1400  02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
11   8472655b99d78b3e9628293a40a1ce64e7e341d0247b7dd829c84d75beed68261ef907b1f94cad403d2eee638784cffda426978fe1344842695d58f200422ce8  24    480   02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
10   621affdab673d3f48bd9ca315cd5c3f6ca4c670c9d14350c0c25ef56c56b149335a4f59bbbffe23ae4d6b00931812a71deb59576bc33e328392ea0374bc52054  88    1760  02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
9    b4fd4db13f6fc94fea6b0fb02477b2cc5d301f1c24fc61be261837693f87473026e8daface4bbcd54ceaf3853f7ca19c017649d477ecf1610b5fc4139550cb4d  86    1720  02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
8    f57a5a512920953334b23e28fed3875d8a2b87125555829c7e556a813c6e31a846f6c1fbed8cbd7acc808df7d18fae86b6512f634261b7c24d739ed8cf395993  64    1280  02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
7    b52c23e83a5ea9cbc4906f7f3c65a51201bd8d0b05eff68032384c091701308e712519da2c0782284ba67bc7e4bdc33ea84d7513047146ea8b65928b0951caa3  22    440   02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
6    9e22c7e0a515a644a85a3066b1ba4a79aae48c93a0958587f3469749f4da73862cd05a62a3bf74ad4e3567b0a67e521e5ca015df09cb657bbb36b73fd68d951b  19    380   02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
5    c93017b99236ae0188e425f068148786bd7561ca9b2b586e7c6f182c5cfd0b3b7861d96349ee486d6be65885c63c90d49df965f4f0e007d7cbaa8bc45eb89fc1  4     80    02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
4    a37296e5bffd85b49242233b698a2d7cc2c63335f738aeeb97efa306bd4180c478e778e6b3906e8224e1f4b23a9af4fa92aaa6623653c5e03205767d79938457  34    680   02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
3    961cf0cd1556f1eda4549fea1dd30626ba76908a81674db5155210adcb4d4609111d75695fd9baeecf7d8f729e183164a0e73b8c85dd396d4f6dff8af5440647  4     80    02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
2    062e7c45b5fe03ae2136dd1b1b5d1b84461ba869d03a40c907b02473c88f0d9673eb5c4325c61d97c4bacd34b63c497bbf9476924fa2fb3ed0d114e6d447ffeb  1     20    02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
1    978d4d59d843988fa5ffc02a1e884558d0b425b97c055204c5a9bfacb712efff40e23e7f6ffa3c4a88350663f97d8e4ef3c6e3e1f4888451fa64e91470081487  1     20    02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
0    4567ac6e3fbc3fb4f51dacb7676c9b3642cdce78e903cc95038e48551d07fa0d02848e6d5b0c367789a8ea7070382c931101c48b46cf35397cedce7e4918743b  3     6     02b3a2c8f0826bc05decfa6c42e0d865e1351451fe35feebb42e4fe94736359074
