round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,39.7MB,14.9MB,68.53%,18.67%,1.3GB,8.9MB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.5MB,20.5MB,0.00%,0.00%,10.2KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-0,91.9MB,46.2MB,98.03%,20.18%,777.7MB,1.3GB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.0MB,47.0MB,0.00%,0.00%,10.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,28.1MB,24.4MB,50.48%,18.80%,57.2MB,29.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,28.8MB,24.8MB,52.04%,20.12%,62.1MB,31.6MB,0B,0B
round0,Docker,sawtooth-settings-tp-2,20.4MB,20.4MB,0.00%,0.00%,10.2KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-2,28.2MB,27.4MB,0.44%,0.22%,10.2MB,10.4MB,0B,0B
round0,Docker,sawtooth-rest-api-3,28.2MB,27.7MB,0.41%,0.22%,10.2MB,10.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.8MB,20.8MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,28.8MB,24.9MB,52.63%,20.15%,61.2MB,31.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,28.1MB,27.5MB,1.46%,0.22%,10.2MB,10.4MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.6MB,20.6MB,0.00%,0.00%,10.2KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,28.9MB,24.9MB,52.29%,20.77%,63.6MB,32.4MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,10.4KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,701.8MB,446.7MB,109.63%,92.49%,76.8MB,868.5MB,0B,0B
round0,Docker,sawtooth-validator-2,636.3MB,436.1MB,109.65%,89.44%,70.9MB,76.2MB,0B,0B
round0,Docker,sawtooth-validator-3,639.7MB,428.6MB,108.98%,88.91%,74.4MB,71.4MB,0B,0B
round0,Docker,sawtooth-validator-1,614.2MB,414.6MB,110.56%,89.77%,75.4MB,117.5MB,0B,0B
