TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
Docker,sawtooth-shell-default,2.4MB,2.4MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-3,20.5MB,20.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-3,20.1MB,20.1MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-3,20.5MB,20.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-3,26.0MB,26.0MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-0,20.5MB,20.5MB,35.32%,35.32%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-0,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-0,26.2MB,26.2MB,3.01%,3.01%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-1,20.3MB,20.3MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-1,26.2MB,26.2MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-1,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-intkey-tp-python...ult-2,20.2MB,20.2MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-poet-validator-r...-tp-2,20.5MB,20.5MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-rest-api-2,26.1MB,26.1MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-settings-tp-2,20.6MB,20.6MB,0.00%,0.00%,0B,0B,0B,0B
Docker,sawtooth-validator-3,30.5MB,30.5MB,1.18%,1.18%,0B,0B,0B,0B
Docker,sawtooth-validator-0,66.0MB,66.0MB,56.71%,56.71%,0B,0B,0B,0B
Docker,sawtooth-validator-1,30.3MB,30.3MB,0.66%,0.66%,0B,0B,0B,0B
Docker,sawtooth-validator-2,30.7MB,30.7MB,0.65%,0.65%,0B,0B,0B,0B
