0.8936170212765957
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
10   c8aab133b36d2e37398fc67e96e6d7061fcebba5bb541a96f868980b29edca983cc6565c4baba1b5119db6cda8fa2db3b8b4c5fc4494aaca8a369fb4c40b97bf  1     20    02cad347a69ace6e2614e8a42970d48367276c48abbd128bff9618c671301f1e64
9    eb563757821a5b4dff98f9ca9ab0b975723a254e87ea4a3c254a8cacdb6e99350dfa1c29dd3e6817a3f96e1bc2f601510147807e11cafe3ffc010927307fcf03  30    600   0309da4fa65ba79e92393f305f16193e4e34e3e981be95e404260a1d03b8b7baa3
8    fdddc644cdd9c8c5519dfa770bfad31306f8700f726fec01d23e4be181a9220a3cc75d9b613f5c1f6da54506e18b524f3a5d6b13c33f9d97003318f886724237  15    300   025358a45006dc7890df7f8be969081738602ec46de5c1c6ddbac3eb7ea005d860
7    44277d2166513feaede0bb6117b0860220f68e876c8ad756bedfb87a796e87795af76626d79b521858b98e35ed4c95a8815c7d2e0813914bcba3e47915156ef3  3     60    02c12cbaf0da3b03acc1bc6516ced73aaf6c5a49b9c1d684e64a41b889add8af39
6    18ff61ed19629c60dc90c845034c474ff0c83a6a5cacfdd62e1fcdf467bca9530a9b9e820db4ef962b3eef01c23c6a1e25ee494eb83df5125f1adcde38b3041e  8     160   0309da4fa65ba79e92393f305f16193e4e34e3e981be95e404260a1d03b8b7baa3
5    751f41bfabdcba5f91a8742ea7d8665211144ef16528c733fa60ee17fe836ce47c63c893ac3da8bbca10c04418680a45c7fd0bc5e97b17d6bedbfc143ad32622  14    280   0309da4fa65ba79e92393f305f16193e4e34e3e981be95e404260a1d03b8b7baa3
4    6d86db1c0868d9cbb103aa24895eba5fd20b1650731b36147a3f2a22009aeef15e4af2f0e16790aa9e707ece59c6c0eb5d6d3c12562f76cde2b1f39f7342f5f8  1     20    02139ae1e073aa731b22d543e09577a3c2fe9ad0865c8fa859b9dd24b44d191e23
3    ffd84569113b845476d94599fb4a65288cd492cfc80ef3a174a8771cbbf3e6230454052f4d8b1ed7cf3b4a8e7aa7f2914bc22c173516824212699d16c6619af5  1     20    02139ae1e073aa731b22d543e09577a3c2fe9ad0865c8fa859b9dd24b44d191e23
2    3cf13323bb32b52a40bac441c6b09c3af93526828a39b8accaa502300cb0d3f75b1828104de00de3c6e28168faa085d17c2ae4dec96e9b8cd6b1ff6e3a5616a1  2     2     0309da4fa65ba79e92393f305f16193e4e34e3e981be95e404260a1d03b8b7baa3
1    f76146a9d4216889a16c967479a69af01068e3e84f5f8cf6d0778f08c855d57b6930fac721f9d56c65472b5b2f5821e0f59d11f537ff0e747e517286e83403db  3     3     02139ae1e073aa731b22d543e09577a3c2fe9ad0865c8fa859b9dd24b44d191e23
0    cd7ae9619db1b05587a6e945826d7af178a1fc8fe58a3d193b695209979d872505392e1bd444c983743dc59a478d895755c8cb3617838762bd86e2ff54ff8271  4     12    02139ae1e073aa731b22d543e09577a3c2fe9ad0865c8fa859b9dd24b44d191e23
