Network Size,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
4,Docker,sawtooth-shell-default,2.4MB,2.4MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-rest-api-1,26.2MB,26.2MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-intkey-tp-python...ult-1,20.3MB,20.3MB,35.46%,24.36%,1.1MB,582.3KB,0B,0B
4,Docker,sawtooth-settings-tp-1,20.6MB,20.6MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-settings-tp-2,20.7MB,20.7MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-intkey-tp-python...ult-2,20.6MB,20.6MB,35.63%,25.44%,1.2MB,589.7KB,0B,0B
4,Docker,sawtooth-rest-api-2,26.0MB,26.0MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-poet-validator-r...-tp-3,46.5MB,46.5MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-rest-api-3,26.1MB,26.1MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-settings-tp-3,20.7MB,20.7MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-intkey-tp-python...ult-3,20.5MB,20.4MB,41.18%,25.89%,1.1MB,578.5KB,0B,0B
4,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,0B,0B,0B,0B
4,Docker,sawtooth-intkey-tp-python...ult-0,20.5MB,20.5MB,34.76%,25.26%,1.2MB,590.4KB,0B,0B
4,Docker,sawtooth-rest-api-0,26.7MB,26.4MB,3.26%,2.12%,661.4KB,680.5KB,0B,0B
4,Docker,sawtooth-poet-validator-r...-tp-0,46.8MB,46.8MB,0.00%,0.00%,177B,0B,0B,0B
4,Docker,sawtooth-validator-1,105.5MB,76.4MB,91.74%,73.02%,1.3MB,1.2MB,0B,0B
4,Docker,sawtooth-validator-2,104.1MB,76.4MB,91.61%,72.58%,1.4MB,1.2MB,0B,0B
4,Docker,sawtooth-validator-3,98.6MB,75.1MB,84.72%,63.85%,978.3KB,1.5MB,0B,0B
4,Docker,sawtooth-validator-0,110.4MB,78.5MB,96.88%,75.07%,1.6MB,3.2MB,0B,0B
