0.0
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
17   8499742e6276cd538b1a17cbd6abed52b8d78240bcfc9a850a046c0da5acd5b9315efd12ddfcbb76d6273301e182d42365fc31ef5b828681926943d4c1d8b742  155   3100  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
16   60b7a43393f0048a90023bc35ab03be498cce1c2ce3e7850ff39a9f205e68ee301a68ebcf09327ed5f059ac43b3dfbef0b1cd63d803976f34c42e5ee04934319  41    820   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
15   66bb47c73e2b4ec8e592eff23a200044bc5d36c7a82f3eca34065172a0f0f5042bdf772c6f29055e47190def26e76bbda147e6e54a16790e1909d428c82e4fb5  32    640   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
14   2b143b1f59f09193960de1d9b6fc41765cf76b33941e2ae0da33e6a1b73484f02075969a3f8ff765471d104fe75d1855c924f2721c493ca447a29db876ee9e37  17    340   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
13   86cf5fbccf58a84cf142587c55fc1f4495ecea2831d1d910dda19b77e25a347c340c1b06ec81a64f0b383523971186beddaa006a949136264f747d003848c479  39    780   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
12   ed7061d2b5803cd5fc94bab9b805230cfff4de0a192346fbb32fbe2ee611cdb46a75260cee7ff51d40bf4067f63a0e816569be5310034e46d9f6ec2c5d6d0435  58    1160  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
11   52051f3e016486728ce14e5deb1c20ad47faa08f577a923c280d90efdaddb1cc1e2e52ad6ae72357d91272269567fa243b1c96671e84a668b38770dc20b60a73  86    1720  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
10   ebaabbe88af34d5e8df3720bf9db7a251176273c83fad64b9800dbc17c12619e3ee427849ca95ff23d968d8b82aa4f979d722dce33f50a0a045702b0139cec22  49    980   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
9    dfc10de8986631bb7171ff234a36ced6ff12e88f52cc1646fe0c9343cc45b29071a7b8ad9347c36b8bfd1e19834800153be232f5bb9ab714fea654595ebd4ff1  120   2400  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
8    2cb676c9d1a6b2a14b14158d64cd200f6cccc6d7209a818181c0078497c79577495b7aff1ea967991d8abf948edb4f00e0efdf98ce1f7ceb8913040cd59305a4  90    1800  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
7    1f5ae1210a0269b2db4291a5915618d52459d25f809f4f6cc2faf2d8b67c519b26c7c6877b0118ce71cff2233ae08f56bc05dedbc1ecc15711dea16a9607f04f  60    1200  03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
6    050f54014c80e3c57acab0b46dc02d6faef6e501e3f6080d022203101ff5a267059fe992d591742a333f77258d768308434c5e6ab53b68e5154b63c2963ec194  29    580   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
5    ede3989a6d3ed674896df503e2b04a571921a24db56223e61bd7128d919cd577220fed972c7ce907c7cefbd57e5d5ea8678841e6ca8dd3482089b2c004a053eb  2     40    03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
4    a1bd4c9543c0eb64472e209dd07529ca7483b713f16d770cdbfa231bd62188206c72ddf5d00ff698580a7ccaf6bfd0cc5d998643121cdfed73526cf4a9cf0769  5     100   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
3    6a156ffca61599466398e630f574db75c16eb2e421a145d9ec5df5d5fc60ca850f924931c65a1fd15c36f2367fa0706e0f6375ec4ef79f0aff7e95835567e915  8     160   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
2    f612bc5b769168ab97726e4c527a5f97fcdd35824ef43c1ed5169b919d9d5ae91a8bb12ec2daf1bed6641db6921662b689843d53cdb26387f32441c93ffce8e6  11    220   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
1    bb5a9453dba2885d0213eccd4e35ec4596edab295764e2019d7dc47970eea24227294be7016b0b1ad2e9fffcd1df1d6aa4c26554f911917805e469e89b95bffa  12    240   03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
0    2796adda83028c2e0569ba0d86cccfd4ca6eb014d7fec5d67f087ed2cc7d21dd67f2bb6e82adcc962ab08a56614306ab8b1fc63d17930dff5916249194c941ca  3     6     03976ae9706d432073c97706f6fbc544fa4eaa277d3dd9410436dd93c79d97b8c4
