round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,48.9MB,12.9MB,53.17%,12.96%,712.4MB,4.9MB,0B,0B
round0,Docker,sawtooth-rest-api-0,86.8MB,45.1MB,54.42%,14.79%,435.5MB,723.7MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,6.8KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,6.8KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,22.9MB,21.9MB,44.78%,9.75%,15.5MB,7.6MB,0B,0B
round0,Docker,sawtooth-validator-0,379.5MB,239.9MB,103.64%,66.48%,18.3MB,437.0MB,0B,0B
round1,Docker,sawtooth-shell-default,82.5MB,21.7MB,41.71%,7.92%,1.0GB,7.0MB,0B,0B
round1,Docker,sawtooth-rest-api-0,167.1MB,82.5MB,98.85%,23.27%,635.7MB,1.0GB,0B,0B
round1,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.9KB,0B,0B,0B
round1,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.9KB,0B,0B,0B
round1,Docker,sawtooth-intkey-tp-python...ult-0,24.8MB,23.9MB,38.14%,9.08%,14.8MB,7.1MB,0B,0B
round1,Docker,sawtooth-validator-0,681.2MB,540.2MB,105.74%,97.89%,18.6MB,634.3MB,0B,0B
round2,Docker,sawtooth-shell-default,85.2MB,22.2MB,40.56%,9.24%,1.1GB,7.4MB,0B,0B
round2,Docker,sawtooth-rest-api-0,176.9MB,94.5MB,100.13%,20.10%,670.2MB,1.1GB,0B,0B
round2,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.5KB,0B,0B,0B
round2,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.4KB,0B,0B,0B
round2,Docker,sawtooth-intkey-tp-python...ult-0,25.4MB,25.0MB,34.63%,2.75%,4.4MB,2.0MB,0B,0B
round2,Docker,sawtooth-validator-0,690.5MB,665.9MB,109.76%,80.55%,13.6MB,658.0MB,0B,0B
round3,Docker,sawtooth-shell-default,96.5MB,23.5MB,44.55%,6.62%,910.3MB,6.1MB,0B,0B
round3,Docker,sawtooth-rest-api-0,225.6MB,108.3MB,100.02%,18.54%,554.0MB,921.9MB,0B,0B
round3,Docker,sawtooth-poet-validator-r...-tp-0,46.6MB,46.6MB,0.00%,0.00%,3.3KB,0B,0B,0B
round3,Docker,sawtooth-settings-tp-0,20.7MB,20.7MB,0.00%,0.00%,3.4KB,0B,0B,0B
round3,Docker,sawtooth-intkey-tp-python...ult-0,26.4MB,25.9MB,41.38%,4.87%,7.8MB,3.7MB,0B,0B
round3,Docker,sawtooth-validator-0,893.6MB,840.0MB,108.92%,98.99%,14.8MB,546.6MB,0B,0B
