Datetime	 Elapsed	 Num Blocks	 Num Txns
2019-04-10 16:40:04.854699	 0.0	 1	 0
2019-04-10 16:40:09.863646	 5.01	 2	 20
2019-04-10 16:40:14.863586	 10.01	 2	 20
2019-04-10 16:40:19.863573	 15.01	 3	 60
2019-04-10 16:40:24.863089	 20.01	 3	 60
2019-04-10 16:40:29.863122	 25.01	 4	 100
2019-04-10 16:40:34.863618	 30.01	 4	 100
2019-04-10 16:40:39.863556	 35.01	 4	 100
2019-04-10 16:40:44.863592	 40.01	 4	 100
2019-04-10 16:40:49.863674	 45.01	 4	 100
2019-04-10 16:40:54.863487	 50.01	 5	 220
2019-04-10 16:40:59.862417	 55.01	 5	 220
2019-04-10 16:41:04.863619	 60.01	 5	 220
2019-04-10 16:41:09.863618	 65.01	 6	 300
2019-04-10 16:41:14.863478	 70.01	 6	 300
2019-04-10 16:41:19.863227	 75.01	 6	 300
2019-04-10 16:41:24.862849	 80.01	 6	 300
2019-04-10 16:41:29.863609	 85.01	 6	 300
2019-04-10 16:41:34.863681	 90.01	 6	 300
2019-04-10 16:41:39.863559	 95.01	 6	 300
2019-04-10 16:41:44.863473	 100.01	 6	 300
2019-04-10 16:41:49.859341	 105.01	 6	 300
2019-04-10 16:41:54.863617	 110.01	 6	 300
2019-04-10 16:41:59.863174	 115.01	 6	 300
2019-04-10 16:42:04.862494	 120.01	 6	 300
2019-04-10 16:42:09.863604	 125.01	 6	 300
2019-04-10 16:42:14.863526	 130.01	 6	 300
2019-04-10 16:42:19.862894	 135.01	 6	 300
2019-04-10 16:42:24.862505	 140.01	 6	 300
2019-04-10 16:42:29.862875	 145.01	 6	 300
2019-04-10 16:42:34.863162	 150.01	 6	 300
2019-04-10 16:42:39.862816	 155.01	 6	 300
2019-04-10 16:42:44.863685	 160.01	 6	 300
2019-04-10 16:42:49.862850	 165.01	 6	 300
2019-04-10 16:42:54.859196	 170.01	 6	 300
2019-04-10 16:42:59.862921	 175.01	 7	 840
2019-04-10 16:43:04.863493	 180.01	 7	 840
2019-04-10 16:43:09.863317	 185.01	 7	 840
2019-04-10 16:43:14.863467	 190.01	 7	 840
2019-04-10 16:43:19.863393	 195.01	 7	 840
2019-04-10 16:43:24.863182	 200.01	 7	 840
2019-04-10 16:43:29.863300	 205.01	 7	 840
