round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,36.4MB,17.5MB,60.40%,15.54%,1.4GB,10.1MB,0B,0B
round0,Docker,sawtooth-rest-api-1,27.4MB,27.0MB,1.46%,0.22%,8.9MB,9.1MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,46.8MB,46.8MB,0.00%,0.00%,8.6KB,3.6KB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.6MB,20.6MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,25.3MB,23.0MB,54.63%,14.21%,35.8MB,18.0MB,0B,0B
round0,Docker,sawtooth-rest-api-0,152.5MB,57.4MB,100.56%,22.56%,896.6MB,1.5GB,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.4MB,20.4MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,46.7MB,46.7MB,0.00%,0.00%,8.6KB,3.6KB,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,24.9MB,23.0MB,53.47%,12.42%,30.9MB,15.4MB,0B,0B
round0,Docker,sawtooth-validator-1,637.3MB,401.9MB,112.42%,82.57%,37.5MB,48.3MB,0B,0B
round0,Docker,sawtooth-validator-0,772.0MB,451.6MB,109.20%,89.63%,40.1MB,919.5MB,0B,0B
