round0,TYPE,NAME,Memory(max),Memory(avg),CPU(max),CPU(avg),Traffic In,Traffic Out,Disc Read,Disc Write
round0,Docker,sawtooth-shell-default,30.3MB,12.2MB,93.07%,24.25%,548.4MB,4.0MB,0B,0B
round0,Docker,sawtooth-settings-tp-3,20.8MB,20.8MB,0.00%,0.00%,3.6KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-3,23.9MB,22.1MB,52.95%,14.01%,23.5MB,11.7MB,0B,0B
round0,Docker,sawtooth-rest-api-3,26.2MB,26.1MB,0.85%,0.03%,961.7KB,974.9KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-3,46.8MB,46.8MB,0.00%,0.00%,3.7KB,0B,0B,0B
round0,Docker,sawtooth-settings-tp-0,20.8MB,20.8MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-0,47.5MB,47.5MB,0.00%,0.00%,3.9KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-0,24.2MB,22.2MB,47.99%,14.46%,26.9MB,13.2MB,0B,0B
round0,Docker,sawtooth-rest-api-0,61.5MB,37.9MB,91.10%,12.08%,330.2MB,550.8MB,0B,0B
round0,Docker,sawtooth-rest-api-2,26.9MB,26.9MB,0.87%,0.04%,947.5KB,958.9KB,0B,0B
round0,Docker,sawtooth-settings-tp-2,21.2MB,21.2MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-2,23.9MB,22.1MB,53.04%,14.40%,24.6MB,12.2MB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-2,46.9MB,46.9MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-rest-api-1,26.6MB,26.5MB,1.06%,0.03%,946.5KB,959.0KB,0B,0B
round0,Docker,sawtooth-poet-validator-r...-tp-1,47.4MB,47.4MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-intkey-tp-python...ult-1,24.7MB,22.7MB,54.02%,16.31%,28.5MB,14.2MB,0B,0B
round0,Docker,sawtooth-settings-tp-1,20.7MB,20.7MB,0.00%,0.00%,3.8KB,0B,0B,0B
round0,Docker,sawtooth-validator-0,362.0MB,203.1MB,109.23%,57.86%,26.7MB,381.4MB,0B,0B
round0,Docker,sawtooth-validator-3,325.8MB,198.6MB,103.56%,41.83%,28.8MB,27.5MB,0B,0B
round0,Docker,sawtooth-validator-1,377.3MB,214.5MB,116.28%,50.44%,31.7MB,32.1MB,0B,0B
round0,Docker,sawtooth-validator-2,334.4MB,207.0MB,103.82%,44.81%,29.6MB,48.4MB,0B,0B
