0.8353909465020576
NUM  BLOCK_ID                                                                                                                          BATS  TXNS  SIGNER                                                            
40   51c025123363efd68ac3b2a6580b9ac420e0b7c349f11248d6dd8d7645bc4df633607ebb92b0280bf78d8efc4f797aa80c35c579f34362d40049b812977df234  5     100   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
39   3483b095427cc5abeaab8da9c7f4e0acc586fbcb082f0dd4fe2eb7aeb1b21a570a2244de922ada93c539c70ad3c365d8ad8997f5ec28e32b3640ef8bce360be8  11    220   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
38   3a220c8d673b6cef7800f2875cef408a1e6e7ff73b255337e05db57362c57430424fd2da3807115adaf0ad1da5492457b5c2e03cf26cc028b38ac09a471146d4  12    240   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
37   43b189efc408c44e821df4639d9fb2589d199c070b2f22b1fc7d60e4635e303d7dfd82a695edcc2d4372ecd06fb0646af1881b41a13cd77907be033d9ed4bc9d  5     100   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
36   5a29ad90934d8b49a43edbc9607cb40bbeead87d918353cbd192e7d19b308a91538a0d4a615fd1937bd6ccb28fdbe64273cfa55074a72cb56614f0a571bb9fed  20    400   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
35   b9d9e6052963dbeca96cabf8ab5a1a46700a5a9001d300ccc39cf1f561390c665f9abfe372ad9137a2bf46f1a6a84a09bda27b9febf53b7324ec5cd0cb8104d9  18    360   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
34   d3ba7f1675f26e4298837f9578467cfdb89512ad6942dc08e342297b6d2d01ba2a48b8b0bfe1c4a2d41e03aca9d100d45b9c0791adab4afa6e272aff38534ca5  10    200   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
33   9519ac24dcbd66d098fb0c5a95209d5f748855abe91d148980ed8bd162f528163b059e263fdf38b0317f808872926cbfdd7422e131d543c03d7fbdbefdc3d291  7     140   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
32   2da1b2ba5a0746460b5bee68ef5a6417ba313dccb8269b054cb036479370a52367c591dd0b898aaee4828ba3f2bdf75be24427141bffb1acba4f6a422bf457bd  7     140   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
31   04b23fd874983796224d2eb0463efae5bce9f6a468d078d6d5d2ec7b443d56c82300139730a5c1bfac920b795a85dccdf76f949e97ee7351c79b66f301b3b923  5     100   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
30   eaa5ed624bbdd4612498210c9e8d1cd81113b70ddf89e870a58b24d5c59cf5240f7adff1af6030ca48324fa69b395b3988ab7ee051619ad4b390e9e87fb1e1be  10    200   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
29   f288b399354500b28d39259627e5caa42a66a9573dfc40ed19891de3d51d285c795ac5f227c694639bd5d0da396a042187b7d043b8ac70b0ed8a46195f766a2f  4     80    0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
28   d89c76a4291bc1d2fc07f9d5ecd7366d7226241a676c41f5891cdc99af885e6b2442881b68ddf4ea69162e5fc79a222ecebf244d1fb5f0d7f2088902362e8ade  4     80    033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
27   3be030e114df2b9b0fbdf5e9731c5c7e5399fcb6a88162ec9a23477666e856d46409fd305e08cd0c34e5e1c20b22f953d1ea8e0f146eb515d409194947cd334a  8     160   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
26   c8fe51c2640921bb1fcb59790313977db9c10c569b78be42645be2f0686b75dd63cb3a99bed85ce9b870dfc975d903f64fda7642fbbc0e33040a61878c23af90  14    280   02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
25   cc689ed0b8d14f76ff8a51baf0ba8cee506c48b4dbd6943a1ba88895b01bb921292407f6f0fc29165a44d413063b11b069b6ab1c1180f544a979d2c6d2d0a3b3  4     80    033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
24   6bbc4440325997e706249d977814193ac6a825eb32a8218c82f311a10a334da91daa11fd01ce7cc8b14670733996b5ad0a0b784ba7024e3417b0330f021664fc  15    300   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
23   77360cd119f3f8815c09f225553cf490acc1be976f430e0a8a5232ba2c8e29c8714f4eadd7d0f64d6f85cc3d3db7e901570b75ab2d92227250783a4e78090fb5  4     80    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
22   e1e4cbdc0c5e2947a71c9a0164dc4f6dc37426be67a410ce4079835e9a27c6283833d89dc6ff804196c01ef190ff50a2c1c642ff3a3e78fbd59f535c57d63b3a  4     80    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
21   ec396db34c2f3a3192a24653ec5403711aa0fd406cec5f057024b63d018497a67d67f9c3f7e04fa64af1fc5bfbfd1e282c0f7d6ea156e244335e893a596dbc3e  5     100   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
20   c5b126786bf568be02620f591005bea4c070320d1ab6ce52385e35b7fe5290395363fc17ea3bfa50c85f58af7168e71de981438c4de7916e3cc7b5b938c56c3f  6     120   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
19   f84ca7c01ab0b90b2bce646ab031e4a40f220868cdf7fa713ae35f9e89732e08650f779ba6ac500a8e513ae3af2d045780ec4458d3fee33d84cb6c9e7a542a49  10    200   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
18   164edf12e674527f8422954f87b643914b75dd60e6dd37502ba9ac9a2c895bb541f22c05f35de9fc78cb1289dca9ed44e0e36610a9a2a78097de3da790a16600  4     80    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
17   555cc42e2e833fbbcd99244057da82f2f21877bd85f12e697e574eae68a3d50b5eea2b225628a91e5bf9ba7741df274af7e6942f28b5008d76761c945cb2f08c  4     80    033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
16   a34b73d2c8eaa125e99da74fca233f1b347ee0304de22c3930156b76512844353075d3ab0fb6ff8c337834743a6e1d97114c40f7a66d5b4aa34c604c99658ed4  8     160   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
15   e19ad7af40d811612aa48d21bf6403d189e284658286983bbf573d114f998b8242b1b5f90f55256a83b4f7810c52b74f09997f49204d78419b2a8157b2504a07  6     120   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
14   51b83d368f1e3ea97996aeb1ef0a98c7a51850f9faa08531a609a9994c6a981e576cb292c593a3559bf7aa5e690350cb37a8c4bb2c66672a74b027a53afa72eb  6     120   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
13   5ac79577cb0059b4388264af951a0ebc685890c7f6af9295dda6d1d4ac6692432ad7c461c149fc7b84968edef442bc571193d9d41fc2a425ee95658ed802d844  4     80    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
12   43f1320564de3b3bf59ec62fd3bd82c1747c75f072bd539ef60c07c021b4508405774b43541fe069a05875a40e1606805c8b958e446d2a70b827f9de291ef3f8  5     100   02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
11   79d9ed33903e4ae2edea21019fa37e5385370a081449eb0f7dd5762356391c287abd7ea925e9365f5b4b677061910cbbc42bbf29823416fac4adef9f3e9dc722  4     80    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
10   f7d452cd80bfa39830a0348ee77be2a060ffa3f2fca022b1e54a0a5d3d3d6fe80cc11e6bd5e60a87f9c6fa9a74cd42f4705424f0950deaf92787986dfa8e962d  5     100   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
9    b8d2490d7730f88ea770a0075ed7401568935777aac7a7fb8de7f80e7195bc3a6f36c237c053033dc9b843ae636eaa49edcc1d0cae99ccbacd733f031b66bfa0  4     80    0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
8    0e479be8745506e4b3155c36ff118d542537368180373685349b54705aaf5975517a9afd8e7e530a4887a3b1ba4c8b2a9e2796e7a6b4c13bb1666c1da0b4e0eb  4     80    0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
7    10e773e202b3944e97b691306d18a9d078dc3346fe5666c3448c297d5f416fd2498219b7d208020863dba195de696bb7ea51935b127aea92bd05bd577384319f  7     140   0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
6    104bdae33b7d280ac367d6ca9d957ad1bcd84c755a478562702bde02a865e4e94576e8557ec83e441316da8bc7ec8c61e522b0338b385efc0826e58ca2c53c78  5     100   0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
5    4f6656a0ed15ad14ef3ee30199e0d4e76940c3629cdf5359317cbaf84bf58ef77d843436fe65af1081d3b4779dd9e70e655b65fb666df938fe96f81aee3c9a10  5     100   033f9606e3843a3cd5d882f1ca9871cdad4105c7995ff93e7fee3df2c764c8634a
4    1cd158a8ebed4b3b7526db56083df3f33b18f375b3c24da2d5b894f354a9858e7a8d3187cc49edff1ca7214666053f42876c0318a01577cd9ac1365e348844d2  1     20    0215853f27a35202225c46d4748bf99e6ecbfef56518b4bbffc2d9d8e9b8133ee8
3    456aa2499c4dbbfc78de6aaf5e65a768517ce9144220b955b86824ab990f437a462d5ed701f527a8c083eb2878221060793a198a32fac01ee4c78c91aa3bc9a9  1     1     02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
2    1f204b78d9a7915d6424e1077755bec7a0f00444b383ef158f951808bbe93331220fdbd70bbbe5d20b7110c8c01ee8b81b7e99e0b4d257c9250ae21cb186991c  1     1     02100610b7f5889790b252f2844dc8d049a767910a37622e943e6fdc23c2ca5ce8
1    5241bd0e61f8a26def5afcff1248e99b28a7a135df634a1d85486e0169132aa21dfcca60cf0080c70b0d4375b65373bceca6ba368d6a1d88b33c12169462b27d  1     1     02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
0    6f46cdd9d862c23336d32de346f56941796284095d2696bbb3b2b6d4eec27f08101fccd20f24e277f81e091a77af83eb9d010918d3eb2184fadc680345986936  4     12    02c547bb2bf4074c15b454ec6613f7db656c2731854ac24fb4a7b598458ce00a82
