Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
4,3,0,sawtooth-shell-default,46.2,19.9,97.62,22.94,357.7,2.5,1.5,0
4,3,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,10.9,0,0,0
4,3,0,sawtooth-rest-api-0,70.2,38.8,102.33,13.99,220.1,364.4,0,0
4,3,0,sawtooth-intkey-tp-python...ult-0,26.6,23.7,54.22,35.44,44.0,22.4,0,0
4,3,0,sawtooth-poet-validator-r...-tp-0,48.8,48.8,0.00,0.00,10.7,0,0,0
4,3,0,sawtooth-poet-validator-r...-tp-3,46.8,46.8,0.00,0.00,10.7,0,0,0
4,3,0,sawtooth-rest-api-3,28.0,27.5,3.18,0.27,5.6,5.7,0,0
4,3,0,sawtooth-intkey-tp-python...ult-3,35.1,32.0,55.97,36.64,46.1,23.6,0,0
4,3,0,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,10.7,0,0,0
4,3,0,sawtooth-settings-tp-2,25.2,25.2,0.00,0.00,10.9,0,0,0
4,3,0,sawtooth-poet-validator-r...-tp-2,46.9,46.9,0.00,0.00,10.7,0,0,0
4,3,0,sawtooth-rest-api-2,28.0,27.6,1.09,0.28,5.6,5.7,0,0
4,3,0,sawtooth-intkey-tp-python...ult-2,26.8,23.7,55.15,36.37,45.2,22.9,0,0
4,3,0,sawtooth-poet-validator-r...-tp-1,68.1,68.1,0.00,0.00,10.7,0,0,0
4,3,0,sawtooth-rest-api-1,28.2,27.7,0.96,0.27,5.6,5.7,0,0
4,3,0,sawtooth-settings-tp-1,21.0,21.0,0.00,0.00,10.9,0,0,0
4,3,0,sawtooth-intkey-tp-python...ult-1,26.6,23.6,56.14,36.92,45.4,23.2,0,0
4,3,0,sawtooth-validator-3,342.2,227.3,110.47,81.80,51.4,52.3,0,0
4,3,0,sawtooth-validator-0,407.8,251.5,113.45,83.11,50.6,291.5,0,0
4,3,0,sawtooth-validator-2,372.6,238.8,107.14,77.77,47.6,54.5,0,0
4,3,0,sawtooth-validator-1,382.7,241.1,110.86,81.42,50.8,80.5,0,0
4,3,1,sawtooth-shell-default,30.9,14.3,100.72,39.79,399.4,3.0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-1,26.8,23.7,55.35,38.51,45.7,23.3,0,0
4,3,1,sawtooth-rest-api-1,27.6,27.4,1.26,0.29,5.6,5.7,0,0
4,3,1,sawtooth-poet-validator-r...-tp-1,46.9,46.9,0.00,0.00,10.3,0,0,0
4,3,1,sawtooth-settings-tp-1,20.7,20.7,0.00,0.00,10.4,0,0,0
4,3,1,sawtooth-poet-validator-r...-tp-2,46.6,46.6,0.00,0.00,10.4,0,0,0
4,3,1,sawtooth-settings-tp-2,20.8,20.8,0.00,0.00,10.3,0,0,0
4,3,1,sawtooth-rest-api-2,27.6,27.5,1.29,0.29,5.6,5.7,0,0
4,3,1,sawtooth-intkey-tp-python...ult-2,26.3,23.5,54.99,37.19,43.3,21.9,0,0
4,3,1,sawtooth-rest-api-3,28.2,27.7,1.45,0.28,5.5,5.7,0,0
4,3,1,sawtooth-poet-validator-r...-tp-3,47.1,47.1,0.00,0.00,10.5,0,0,0
4,3,1,sawtooth-settings-tp-3,20.8,20.8,0.00,0.00,10.5,0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-3,26.5,23.4,54.29,38.36,46.0,23.5,0,0
4,3,1,sawtooth-settings-tp-0,21.6,21.6,0.00,0.00,10.5,0,0,0
4,3,1,sawtooth-rest-api-0,57.6,36.1,98.83,16.20,245.4,406.3,0,0
4,3,1,sawtooth-poet-validator-r...-tp-0,47.6,47.6,0.00,0.00,10.5,0,0,0
4,3,1,sawtooth-intkey-tp-python...ult-0,27.2,24.3,55.52,36.61,44.1,22.5,0,0
4,3,1,sawtooth-validator-1,299.2,200.0,107.96,79.14,48.4,51.5,0,0
